segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,16,82,1,44,44,33,33,88.46169306690129,33:45:1
1,16,96,1,13,13,16,16,42.2714622757197,43:14:1
2,18,78,1,10,10,9,9,0.15362893323251114,43:20:1
3,18,80,1,17,17,14,14,37.453050838742655,43:27:1
4,18,97,1,5,5,7,7,44.144178882756066,45:15:1
5,20,61,1,7,7,11,11,65.1351239837649,43:11:2
6,20,77,1,19,19,25,25,1.2241054939545108,31:20:1
7,21,52,1,36,36,44,44,59.71842957925632,15:21:2
8,21,77,1,36,36,41,41,18.272711392062618,15:21:2
9,21,96,1,45,45,45,45,95.66781333128314,14:13:1
10,22,33,1,50,50,24,24,48.62599987348429,12:30:2
11,23,24,1,42,42,17,17,55.85735607564848,37:51:2
12,23,91,1,16,16,21,21,33.613177505370004,38:25:1
13,24,95,1,26,26,51,51,39.53967818327102,28:51:2
14,25,44,1,20,20,24,24,16.80495867043105,27:35:1
15,26,73,1,18,18,30,30,85.05328109411215,27:41:2
16,27,89,1,22,22,34,34,55.813444284896576,24:45:2
17,30,35,1,27,27,7,7,38.116699789507905,30:43:1
18,31,32,1,6,6,23,23,37.615845154513835,36:45:2
19,31,63,1,14,14,33,33,56.54433449814499,28:37:3
20,32,67,1,8,8,25,25,36.13410475161369,51:34:1
21,33,48,1,35,35,10,10,64.02198286291272,11:19:2
22,34,86,1,4,4,36,36,54.69898144400746,13:48:1
23,35,95,1,9,9,41,41,27.119766921531948,28:41:2
24,36,94,1,16,16,19,19,71.80453499533165,37:19:2
25,36,95,1,25,25,19,19,51.78979537365079,28:19:2
26,37,44,1,3,3,12,12,40.92050094899484,27:47:1
27,37,73,1,4,4,35,35,46.35218387131667,27:46:2
28,38,40,1,21,21,20,20,67.65141175916959,33:31:2
29,38,65,1,20,20,21,21,39.058703505039716,32:30:2
30,39,81,1,30,30,34,34,90.39410983595941,37:35:1
31,40,65,1,21,21,23,23,57.22516171525983,32:32:2
32,43,44,1,16,16,29,29,41.739334909529234,27:30:1
33,46,47,1,18,18,12,12,38.03608987860781,13:36:2
34,47,52,1,28,28,35,35,83.70372447476458,24:20:2
35,49,65,1,16,16,7,7,66.54826020758921,41:16:1
36,49,69,1,10,10,11,11,21.6004469470644,47:20:1
37,49,84,1,6,6,28,28,30.741083865851508,51:24:1
38,49,92,1,24,24,45,45,64.46143615418183,33:11:1
39,50,73,1,24,24,47,47,10.6249264537079,26:58:1
40,52,54,1,19,19,10,10,48.38793133393146,40:17:2
41,52,61,1,14,14,15,15,24.352043591629297,45:15:2
42,55,65,1,1,1,0,0,47.35457993181882,46:9:0
43,61,88,1,54,54,45,45,90.3632628956128,45:54:2
44,65,76,1,19,19,10,10,12.150786544163594,32:28:2
45,66,76,1,22,22,6,6,11.98149153687207,36:24:1
46,66,77,1,19,19,20,20,29.047892338012232,36:21:1
47,68,73,1,26,26,21,21,70.4740423576817,29:32:2
48,68,74,1,44,44,11,11,2.824328986767597,11:35:2
49,69,92,1,26,26,31,31,59.67445153037326,32:25:1
50,73,78,1,11,11,13,13,30.428388335132894,39:22:1
51,76,77,1,2,2,16,16,42.319097269537764,40:20:1
52,77,84,1,3,3,38,38,22.83278669325405,53:14:1
53,78,80,1,14,14,19,19,55.0937421272009,38:22:1
54,78,86,1,25,25,11,11,55.7795669946982,27:23:1
55,81,93,1,20,20,37,37,34.419482074501175,40:21:1
56,82,87,1,6,6,37,37,29.605488825026768,6:26:1
57,87,88,1,35,35,8,8,50.37355796904902,8:26:1
