action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,35,37,36,41,40,True,False,8.594800000082614,pairs_decreased,1,0,0,stage2_independent_matching,7,0,35-67,1,head_to_head,reroute,0,0.0375,0.0375,0.925,ADM_ref6_independent_matching,0.01875,0.01875,0.9625,7,0,35,67,reroute,35,41,40,37,36
cruise_level,46,36,37,40,41,False,True,20.33060000030673,rollback,1,0,2,stage2_independent_matching,8,0,46-63,1,head_to_head,reroute,0,0.01875,0.01875,0.9625,ADM_ref6_independent_matching,,,,8,0,46,63,reroute,46,40,41,36,37
cruise_level,46,36,35,40,39,True,False,7.70250000005035,pairs_decreased,1,0,0,stage2_independent_matching,8,0,46-63,1,head_to_head,reroute,1,0.01875,0.01875,0.9625,ADM_ref6_independent_matching,0.009375,0.009375,0.98125,8,0,46,63,reroute,46,40,39,36,35
cruise_level,13,35,35,39,42,False,True,7.969499999944674,rollback,1,1,0,stage2_independent_matching,9,0,13-45,1,cluster,reroute,0,0.125,0.325,0.55,ADM_ref6_independent_matching,,,,9,0,13,45,reroute,13,39,42,35,35
cruise_level,13,35,34,39,38,True,False,8.40939999989132,pairs_decreased,1,0,1,stage2_independent_matching,9,0,13-45,1,cluster,reroute,1,0.125,0.325,0.55,ADM_ref6_independent_matching,0.0625,0.1625,0.775,9,0,13,45,reroute,13,39,38,35,34
delay,2,34,35,38,40,False,True,8.253200000126526,rollback,1,1,1,stage2_independent_matching,10,0,2-13,1,crossing,delay,0,0.90625,0.075,0.01875,ADM_ref6_independent_matching,,,,10,0,2,13,delay,2,38,40,34,35
delay,2,34,35,38,40,False,True,8.116599999993923,rollback,1,1,1,stage2_independent_matching,10,0,2-13,1,crossing,delay,1,0.90625,0.075,0.01875,ADM_ref6_independent_matching,,,,10,0,2,13,delay,2,38,40,34,35
delay,2,34,33,38,37,True,False,8.480599999984406,pairs_decreased,1,0,0,stage2_independent_matching,10,0,2-13,1,crossing,delay,2,0.90625,0.075,0.01875,ADM_ref6_independent_matching,0.953125,0.0375,0.009375,10,0,2,13,delay,2,38,37,34,33
delay,14,33,33,37,37,False,True,7.753400000183319,rollback,1,1,0,stage2_independent_matching,11,0,14-40,1,crossing,delay,0,0.953125,0.0375,0.009375,ADM_ref6_independent_matching,,,,11,0,14,40,delay,14,37,37,33,33
delay,14,33,32,37,36,True,False,8.254800000031537,pairs_decreased,1,0,0,stage2_independent_matching,11,0,14-40,1,crossing,delay,1,0.953125,0.0375,0.009375,ADM_ref6_independent_matching,0.9765625,0.01875,0.0046875,11,0,14,40,delay,14,37,36,33,32
delay,93,32,33,36,37,False,True,8.111000000099011,rollback,1,1,1,stage2_independent_matching,12,0,14-93,1,crossing,delay,0,0.9765625,0.01875,0.0046875,ADM_ref6_independent_matching,,,,12,0,14,93,delay,93,36,37,32,33
delay,93,32,33,36,37,False,True,8.252100000390783,rollback,1,1,1,stage2_independent_matching,12,0,14-93,1,crossing,delay,1,0.9765625,0.01875,0.0046875,ADM_ref6_independent_matching,,,,12,0,14,93,delay,93,36,37,32,33
cruise_level,14,32,31,36,35,True,False,9.118400000261317,pairs_decreased,1,0,0,stage2_independent_matching,12,0,14-93,1,crossing,reroute,0,0.9765625,0.01875,0.0046875,ADM_ref6_independent_matching,0.48828125,0.009375,0.50234375,12,0,14,93,reroute,14,36,35,32,31
delay,15,31,31,35,35,False,True,9.343000000171742,rollback,1,1,0,stage2_independent_matching,13,0,15-95,1,crossing,delay,0,0.48828125,0.009375,0.50234375,ADM_ref6_independent_matching,,,,13,0,15,95,delay,15,35,35,31,31
delay,95,31,31,35,35,False,True,21.250299999792333,rollback,1,1,1,stage2_independent_matching,13,0,15-95,1,crossing,delay,1,0.48828125,0.009375,0.50234375,ADM_ref6_independent_matching,,,,13,0,15,95,delay,95,35,35,31,31
delay,15,31,33,35,37,False,True,8.18070000013904,rollback,1,0,4,stage2_independent_matching,13,0,15-95,1,crossing,delay,2,0.48828125,0.009375,0.50234375,ADM_ref6_independent_matching,,,,13,0,15,95,delay,15,35,37,31,33
delay,15,31,30,35,34,True,False,7.92860000001383,pairs_decreased,1,0,1,stage2_independent_matching,13,0,15-95,1,crossing,delay,3,0.48828125,0.009375,0.50234375,ADM_ref6_independent_matching,0.744140625,0.0046875,0.251171875,13,0,15,95,delay,15,35,34,31,30
cruise_level,15,30,31,34,35,False,True,8.770000000367872,rollback,1,0,2,stage2_independent_matching,14,0,15-84,1,crossing,reroute,0,0.744140625,0.0046875,0.251171875,ADM_ref6_independent_matching,,,,14,0,15,84,reroute,15,34,35,30,31
cruise_level,15,30,29,34,33,True,False,8.119500000248081,pairs_decreased,1,0,0,stage2_independent_matching,14,0,15-84,1,crossing,reroute,1,0.744140625,0.0046875,0.251171875,ADM_ref6_independent_matching,0.3720703125,0.00234375,0.6255859375,14,0,15,84,reroute,15,34,33,30,29
cruise_level,16,29,28,33,32,True,False,8.1531000000723,pairs_decreased,1,0,0,stage2_independent_matching,15,0,16-37,1,head_to_head,reroute,0,0.009375,0.009375,0.98125,ADM_ref6_independent_matching,0.0046875,0.0046875,0.990625,15,0,16,37,reroute,16,33,32,29,28
cruise_level,27,28,28,32,37,False,True,7.906800000000658,rollback,2,7,0,stage2_independent_matching,16,0,27-54,1,crossing,reroute,0,0.3720703125,0.00234375,0.6255859375,ADM_ref6_independent_matching,,,,16,0,27,54,reroute,27,32,37,28,28
