run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,30,75,39,48,1,39,13,1775.632586160657,1797.5174120466356,-21.88482588597867,21.88482588597867,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,38,43,46,41,1,44,18,627.1097966091518,618.6708007893669,8.43899581978485,8.43899581978485,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,11,17,21,39,0,30,19,1754.9422320461422,1772.6224373775472,-17.680205331404977,17.680205331404977,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,52,62,43,27,0,40,20,1442.8197917182,1456.2618076300496,-13.442015911849468,13.442015911849468,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,31,40,30,0,21,35,911.039085684244,921.034850034722,-9.995764350478112,9.995764350478112,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,56,62,40,30,0,2,23,1483.5426082383906,1498.6882145012428,-15.145606262852198,15.145606262852198,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,31,82,39,30,0,34,20,911.034850034722,908.6245291875028,2.4103208472193955,2.4103208472193955,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,31,82,38,30,0,33,21,901.034850034722,918.6245291875028,-17.589679152780604,17.589679152780604,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,61,25,42,0,17,23,309.098972930982,324.226849835704,-15.12787690472203,15.12787690472203,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,89,24,41,0,16,17,294.956837307251,302.3374107562769,-7.38057344902586,7.38057344902586,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,61,24,41,0,16,22,294.956837307251,310.08471421197305,-15.12787690472203,15.12787690472203,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,61,89,24,41,0,22,17,310.08471421197305,302.3374107562769,7.747303455696169,7.747303455696169,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,61,23,40,0,15,21,280.81470168352007,295.9425785882421,-15.12787690472203,15.12787690472203,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,61,89,23,40,0,21,18,295.9425785882421,316.47954638000783,-20.536967791765733,20.536967791765733,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,61,22,39,0,14,20,266.6725660597891,281.80044296451115,-15.12787690472203,15.12787690472203,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,85,89,18,43,0,16,23,372.4309185962866,387.1902244986626,-14.759305902376012,14.759305902376012,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,29,25,29,0,29,26,1817.0593678688847,1846.5811844082937,-29.52181653940852,29.52181653940852,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,44,99,30,31,0,28,25,1333.8984796513278,1343.778397338653,-9.879917687324903,9.879917687324903,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,14,4,0,5,3,1097.532468584409,1114.7609602102712,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,15,4,0,6,4,1107.532468584409,1124.7609602102712,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,16,4,0,7,5,1117.532468584409,1134.7609602102712,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,17,4,0,8,6,1127.532468584409,1144.7609602102712,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,18,5,0,9,7,1141.67460420814,1158.9030958340022,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,19,6,0,10,8,1155.816739831871,1173.0452314577333,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,20,7,0,11,9,1169.958875455602,1187.1873670814643,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,21,8,0,12,10,1184.1010110793331,1201.3295027051954,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,22,9,0,13,11,1198.2431467030642,1215.4716383289265,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,23,10,1,14,12,1212.6999789978652,1229.9284706237274,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,24,11,1,15,13,1226.842114621596,1244.0706062474585,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,25,12,1,16,14,1240.984250245327,1258.212741871189,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,26,13,1,17,15,1255.126385869058,1272.3548774949204,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,27,14,1,18,16,1269.2685214927892,1286.4970131186517,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,28,15,1,19,17,1283.4106571165205,1300.6391487423823,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,29,16,1,20,18,1297.552792740251,1314.7812843661136,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,30,17,1,21,19,1311.6949283639824,1328.923419989845,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,31,18,1,22,20,1325.8370639877137,1343.0655556135755,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,32,19,1,23,21,1339.9791996114443,1357.2076912373068,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,33,20,1,24,22,1354.1213352351756,1371.349826861038,-17.22849162586226,17.22849162586226,30.0,deterministic
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,18,34,21,1,25,23,1368.2634708589069,1385.491962484769,-17.22849162586226,17.22849162586226,30.0,deterministic
