run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,1,95,39.0,4,4,4,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,2,39,24.0,5,5,5,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,3,51,21.0,4,28,28,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,4,5,16.0,3,33,33,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,5,98,15.0,4,5,5,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,6,23,14.0,3,27,27,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,7,40,12.0,3,3,3,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,8,48,12.0,3,3,3,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,9,52,12.0,3,5,5,93
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,90,10,84,12.0,3,12,12,93
