run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,62,1,0.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,63,7,258.0,10,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,64,5,120.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,65,4,117.0,7,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,66,2,11.0,13,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,67,2,2.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,68,4,48.0,22,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,69,4,126.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,70,4,120.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,71,3,50.0,22,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,72,1,0.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,73,3,80.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,74,3,24.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,75,4,81.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,76,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,77,5,128.0,9,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,78,0,0.0,0,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,79,1,0.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,80,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,81,5,132.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,82,5,224.0,10,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,83,3,82.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,84,5,184.0,13,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,85,4,114.0,7,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,86,6,200.0,21,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,87,3,82.0,8,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,88,5,148.0,6,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,89,3,58.0,9,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,90,2,18.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,91,5,44.0,9,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,92,3,42.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,93,3,38.0,9,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,94,5,148.0,9,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,95,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,96,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,97,2,28.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,98,3,14.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,99,4,120.0,6,False
