segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
78,53,66,1,4,4,48,48,51.93289546722407,37:50:1
79,55,65,1,1,1,0,0,47.35457993181882,46:9:0
80,61,88,1,54,54,45,45,90.3632628956128,45:54:2
81,65,76,1,19,19,10,10,12.150786544163594,32:28:2
82,66,76,1,22,22,6,6,11.98149153687207,36:24:1
83,66,77,1,19,19,20,20,29.047892338012232,36:21:1
84,68,74,1,44,44,11,11,2.824328986767597,11:35:2
85,69,92,1,26,26,31,31,59.67445153037326,32:25:1
86,70,88,1,39,39,10,10,7.156453373955145,10:28:1
87,70,91,1,10,10,22,22,56.99029271162816,39:26:1
88,76,77,1,2,2,16,16,42.319097269537764,40:20:1
89,77,84,1,3,3,38,38,22.83278669325405,53:14:1
90,78,80,1,14,14,19,19,51.44414024471084,38:22:1
91,78,86,1,25,25,11,11,17.239556212007358,27:23:1
92,81,93,1,20,20,37,37,34.419482074501175,40:21:1
93,82,87,1,6,6,37,37,29.605488825026768,6:26:1
94,87,88,1,35,35,8,8,50.37355796904902,8:26:1
