plan_a,plan_b,cell_x,cell_y,cell_z,time_a,time_b,time_gap,required_gap,tried_delay_a,tried_delay_b,tried_speed_a,tried_speed_b,tried_reroute,reason_failed
1,96,56,25,1,857.4266268399182,816.3826156836795,41.04401115623864,75.43627525418478,False,False,False,False,False,remaining_after_repair
1,96,55,24,1,871.5335793659167,829.6222625147816,41.9113168511351,76.77623400017386,False,False,False,False,False,remaining_after_repair
1,85,56,0,1,1115.0683331311498,1109.5219852898256,5.546347841324177,118.01763230839968,False,False,False,False,False,remaining_after_repair
2,61,45,31,2,1094.3230436780884,1020.0281174024271,74.29492627566128,75.4495090857581,False,False,False,False,False,remaining_after_repair
2,62,34,31,2,1230.330108842234,1238.388653284422,-8.058544442187895,73.2182593250383,False,False,False,False,False,remaining_after_repair
38,40,33,31,2,914.5428849484113,925.4849696824301,-10.942084734018863,78.59349649318845,False,False,False,False,False,remaining_after_repair
2,53,23,31,2,1375.8626959334144,1390.116347430489,-14.253651497074543,86.09275363360771,False,False,False,False,False,remaining_after_repair
2,53,22,30,2,1392.1237790093965,1404.2840529029322,-12.16027389353576,87.58373687481017,False,False,False,False,False,remaining_after_repair
2,53,21,29,2,1408.3848620853785,1418.4517583753754,-10.066896289996976,89.07472011601263,False,False,False,False,False,remaining_after_repair
2,26,16,29,2,1465.8764726477016,1503.1389908337217,-37.26251818602009,78.98870010058022,False,False,False,False,False,remaining_after_repair
21,56,15,29,2,1238.6856792624246,1296.6675983838807,-57.98191912145603,85.74569848502401,False,False,False,False,False,remaining_after_repair
2,79,15,29,2,1477.3747947601662,1571.849336374033,-94.4745416138669,94.85330626881345,False,False,False,False,False,remaining_after_repair
2,79,14,29,2,1488.8731168726308,1584.840155830771,-95.96703895814017,96.05325215601194,False,False,False,False,False,remaining_after_repair
69,92,32,25,1,781.7387717222873,755.0299274960026,26.70884422628467,86.38329575665793,False,False,False,False,False,remaining_after_repair
3,16,34,29,1,1268.1010697679676,1263.621578362747,4.479491405220642,79.58253559620923,False,False,False,False,False,remaining_after_repair
3,89,35,30,1,1280.7069174828061,1274.3945911249407,6.312326357865459,77.44615077884208,False,False,False,False,False,remaining_after_repair
11,54,39,53,1,1235.5905483641666,1269.3215197397822,-33.73097137561558,76.85882410304954,False,False,False,False,False,remaining_after_repair
21,56,15,26,2,1272.4032528170753,1326.4095456030425,-54.00629278596716,88.85515786484511,False,False,False,False,False,remaining_after_repair
4,21,15,26,2,1336.2934793474717,1272.4032528170753,63.890226530396376,76.09345195667039,False,False,False,False,False,remaining_after_repair
4,56,15,26,2,1336.2934793474717,1326.4095456030425,9.883933744429214,72.86310449755894,False,False,False,False,False,remaining_after_repair
52,77,19,21,2,1060.704790001902,1035.2628746853727,25.441915316529276,92.61252403368391,False,False,False,False,False,remaining_after_repair
5,85,50,1,1,973.6868343655967,1036.368170961949,-62.68133659635237,84.44659308727347,False,False,False,False,False,remaining_after_repair
5,85,49,1,1,984.7400568689272,1024.9632163846632,-40.223159515735915,84.42935853234445,False,False,False,False,False,remaining_after_repair
5,85,48,1,1,995.7932793722578,1013.5582618073773,-17.764982435119578,84.41212397741546,False,False,False,False,False,remaining_after_repair
5,85,47,1,1,1006.8465018755883,1002.1533072300915,4.69319464549676,84.39488942248646,False,False,False,False,False,remaining_after_repair
5,85,46,1,1,1017.8997243789188,990.7483526528057,27.151371726113098,84.37765486755747,False,False,False,False,False,remaining_after_repair
5,85,45,1,1,1028.9529468822493,979.3433980755199,49.609548806729435,84.36042031262846,False,False,False,False,False,remaining_after_repair
5,85,44,1,1,1040.0061693855798,967.938443498234,72.06772588734577,84.34318575769947,False,False,False,False,False,remaining_after_repair
6,92,17,51,2,404.18945349576666,432.0233547681739,-27.833901272407218,63.09641929404509,False,False,False,False,False,remaining_after_repair
24,95,28,51,2,931.1112617646253,984.5481168410956,-53.43685507647035,92.97653325974137,False,False,False,False,False,remaining_after_repair
7,29,43,38,1,1525.0430299869922,1595.0058219149394,-69.96279192794714,79.79888958159813,False,False,False,False,False,remaining_after_repair
31,32,36,45,2,1322.650388037705,1287.2121351863593,35.438252851345624,73.05409800585946,False,False,False,False,False,remaining_after_repair
7,27,35,46,2,1635.050503463345,1645.1378561993897,-10.08735273604475,85.24334341177635,False,False,False,False,False,remaining_after_repair
8,30,28,54,1,977.6329778285742,983.4581359671595,-5.825158138585266,78.49315112920164,False,False,False,False,False,remaining_after_repair
8,21,16,41,2,1143.9801311982378,1099.159959624939,44.82017157329892,75.34062365235616,False,False,False,False,False,remaining_after_repair
8,56,13,38,2,1183.1841046596815,1199.2287447866872,-16.044640127005778,76.2882562464941,False,False,False,False,False,remaining_after_repair
9,63,29,4,0,1059.7478600081095,1076.6125700773841,-16.86471006927468,53.45823849218589,False,False,False,False,False,remaining_after_repair
52,77,14,21,2,1104.7005190155076,1080.332303954597,24.368215060910643,96.97663659647657,False,False,False,False,False,remaining_after_repair
9,32,3,51,2,1576.5123213176025,1670.4622103099175,-93.94988899231498,114.14717056720629,False,False,False,False,False,remaining_after_repair
10,49,13,10,1,1129.0864282760947,1099.9638975236917,29.12253075240301,88.77229420549247,False,False,False,False,False,remaining_after_repair
10,49,15,10,1,1158.0722296326364,1078.0734890660983,79.99874056653812,89.11996206894497,False,False,False,False,False,remaining_after_repair
11,82,35,45,1,1343.0582189303288,1338.2606250018844,4.797593928444485,89.28960200804336,False,False,False,False,False,remaining_after_repair
16,89,33,32,1,1298.7282038548763,1308.275486864461,-9.547283009584817,90.55371866677785,False,False,False,False,False,remaining_after_repair
13,23,37,36,1,653.8886664875179,658.268907877262,-4.380241389744128,77.68747989123041,False,False,False,False,False,remaining_after_repair
34,86,13,48,1,1796.874645201,1822.6202873397806,-25.745642138780568,80.44462358278803,False,False,False,False,False,remaining_after_repair
13,75,3,49,1,1042.945054908938,1017.1010153745475,25.84403953439039,81.62647701778798,False,False,False,False,False,remaining_after_repair
49,84,51,24,1,611.5077042772423,652.6134919916581,-41.10578771441578,71.84687158026729,False,False,False,False,False,remaining_after_repair
14,39,46,24,1,1494.5964383296987,1541.6527989210592,-47.056360591360544,70.28972517400234,False,False,False,False,False,remaining_after_repair
14,39,45,25,1,1507.1458866273877,1556.7347375237682,-49.58885089638056,71.64363825319413,False,False,False,False,False,remaining_after_repair
14,29,43,25,1,1524.8934866102793,1485.5515813643872,39.34190524589212,70.930926816211,False,False,False,False,False,remaining_after_repair
23,91,38,25,1,536.0854930833295,489.18386169111164,46.901631392217894,80.5148088975879,False,False,False,False,False,remaining_after_repair
14,81,38,25,1,1569.2624865675084,1598.8299743301268,-29.567487762618384,76.88831187771845,False,False,False,False,False,remaining_after_repair
14,73,36,25,1,1587.0100865504,1557.2134413827491,29.796645167650922,74.51621464280188,False,False,False,False,False,remaining_after_repair
70,87,18,26,1,685.9803256495026,694.3150339023582,-8.334708252855648,82.84111379871567,False,False,False,False,False,remaining_after_repair
70,87,14,26,1,728.4870633168729,732.5777147486465,-4.090651431773608,86.798742582191,False,False,False,False,False,remaining_after_repair
70,87,13,26,1,737.2904969339029,742.1433849602186,-4.852888026315668,87.69881213049942,False,False,False,False,False,remaining_after_repair
20,26,12,26,1,1415.245483280691,1446.5068657358158,-31.26138245512493,84.70811869498925,False,False,False,False,False,remaining_after_repair
87,88,8,26,1,789.9717360180789,816.8186095208026,-26.846873502723724,77.22043147177274,False,False,False,False,False,remaining_after_repair
82,87,6,26,1,857.9238332909879,809.103076441223,48.82075684976485,78.42624567479162,False,False,False,False,False,remaining_after_repair
15,23,37,51,2,818.8726404355599,819.3076887924751,-0.4350483569152175,97.06572897399067,False,False,False,False,False,remaining_after_repair
15,24,37,51,2,818.8726404355599,849.936520590041,-31.063880154481126,79.62165697655453,False,False,False,False,False,remaining_after_repair
23,24,37,51,2,819.3076887924751,849.936520590041,-30.62883179756591,86.48618787321439,False,False,False,False,False,remaining_after_repair
49,65,41,16,1,757.2289628412968,754.718494149116,2.5104686921807797,69.05872889976999,False,False,False,False,False,remaining_after_repair
16,58,41,16,1,1100.1351402543876,1062.920715622437,37.21442463195058,80.68525810404705,False,False,False,False,False,remaining_after_repair
78,80,38,22,1,1314.6195364372031,1335.7143427697936,-21.09480633259045,72.53894657730129,False,False,False,False,False,remaining_after_repair
66,76,36,24,1,860.1697025299429,918.3282643757091,-58.158561845766144,70.14005338263821,False,False,False,False,False,remaining_after_repair
16,89,34,31,1,1284.1865634468834,1291.3350389947009,-7.1484755478174975,89.01112468721519,False,False,False,False,False,remaining_after_repair
32,67,51,34,1,1066.7114796533422,1104.0881046111806,-37.37662495783843,73.51072970945212,False,False,False,False,False,remaining_after_repair
45,67,51,31,1,1164.4631378930812,1134.4665582868008,29.99657960628042,94.56950682154007,False,False,False,False,False,remaining_after_repair
77,84,53,14,1,694.7908044603399,745.8836099750388,-51.09280551469885,73.9255922079529,False,False,False,False,False,remaining_after_repair
18,97,45,15,1,1180.697570634924,1194.7931403270288,-14.095569692104846,58.23974857486091,False,False,False,False,False,remaining_after_repair
29,73,45,16,1,1402.800579307038,1396.8739117386697,5.92666756836843,64.86827998479878,False,False,False,False,False,remaining_after_repair
29,73,44,17,1,1414.7076309567178,1414.6894150324563,0.01821592426153984,66.32465841524144,False,False,False,False,False,remaining_after_repair
18,78,43,20,1,1237.4170213231587,1262.1890999513844,-24.7720786282257,63.46571834414905,False,False,False,False,False,remaining_after_repair
18,80,43,27,1,1305.5376559849387,1273.0124040079484,32.525251976990376,69.97830281573303,False,False,False,False,False,remaining_after_repair
39,81,37,35,1,1698.7193284642694,1701.938078693612,-3.218750229342504,93.61286006530192,False,False,False,False,False,remaining_after_repair
30,35,30,43,1,870.5515862623836,907.235302874132,-36.68371661174842,74.80041640125633,False,False,False,False,False,remaining_after_repair
45,77,31,20,1,880.2445732938089,922.9656834076878,-42.72111011387892,77.33647871348725,False,False,False,False,False,remaining_after_repair
78,86,27,23,1,1417.297700958928,1473.9123507536817,-56.61464979475363,73.85420600676099,False,False,False,False,False,remaining_after_repair
