run_id,traffic_seed,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,0,27,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,0,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,0,71,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,0,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,3,22,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,4,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,4,47,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,5,38,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,5,45,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,5,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,7,22,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,7,24,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,8,93,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,9,27,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,11,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,11,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,13,19,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,13,35,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,13,70,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,13,99,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,18,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,18,91,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,20,77,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,21,88,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,22,56,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,25,97,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,26,76,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,26,91,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,28,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,28,80,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,31,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,31,65,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,32,49,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,32,51,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,32,57,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,32,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,34,43,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,35,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,35,82,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,37,72,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,38,40,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,38,56,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,38,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,39,41,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,39,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,40,45,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,40,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,40,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,41,53,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,41,92,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,41,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,44,96,6
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,45,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,46,50,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,46,74,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,49,82,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,49,89,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,50,68,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,50,73,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,50,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,52,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,53,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,54,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,55,75,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,56,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,57,72,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,58,72,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,63,85,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,64,76,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,65,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,66,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,73,75,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,74,76,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,76,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,80,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,86,92,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,88,95,1
