run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,1,82,44.0,5,8,8,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,2,95,33.0,4,4,4,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,3,38,30.0,4,4,4,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,4,40,27.0,4,4,4,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,5,50,24.0,4,5,5,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,6,79,22.0,3,3,3,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,7,54,21.0,4,4,4,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,8,35,20.0,3,4,4,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,9,56,20.0,3,4,4,35
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,167,10,0,18.0,4,5,5,35
