run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,1,18,40.0,5,6,6,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,2,47,36.0,3,3,3,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,3,36,25.0,6,6,6,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,4,9,24.0,4,4,4,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,5,43,21.0,4,4,4,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,6,72,21.0,4,31,31,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,7,82,20.0,3,4,4,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,8,67,18.0,3,3,3,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,9,69,18.0,3,4,4,78
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,215,10,27,16.0,5,21,21,78
