method,n_runs,key_conflict_point_coverage,stage1_conflicts_mean,stage1_conflicts_std,stage1_reduction_mean,final_conflicts_mean,final_conflicts_std,zero_conflict_success_rate,changed_flights_mean,delayed_flights_mean,risk_increase_mean,risk_increase_std,final_fitness_mean,stage1_runtime_mean,stage2_runtime_mean,total_runtime_mean
binary,3,0.5233644859813084,52.333333333333336,1.5275252316519468,0.5109034267912773,7.333333333333333,1.5275252316519465,0.0,44.666666666666664,23.0,0.5596128810067689,0.5793789794274181,315419.1784375419,20.01664783332914,37.42453113333128,57.47434253333389
multi,3,0.48598130841121495,55.333333333333336,0.5773502691896263,0.48286604361370716,11.666666666666666,2.5166114784235836,0.0,46.666666666666664,22.0,0.3249872624460192,0.5662391193889899,497152.0431784133,19.848021899997548,35.66651789999984,55.55143280000144
