generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
81,50,1,49,0.02,20,21,995833.509931901,24.08,39.06,19,23,1,16,0,0,16,0,33,9,0,11,12,43
82,50,1,49,0.02,20,21,995765.2745723184,24.06,39.78,19,23,1,16,0,0,16,0,33,9,0,11,12,43
83,50,2,48,0.04,20,21,995693.6282246653,24.02,39.88,19,23,2,15,0,0,15,0,33,9,0,11,12,43
84,50,0,50,0.0,20,21,995618.444574952,24.02,39.88,19,23,0,19,0,0,19,0,31,9,0,11,12,43
85,50,3,47,0.06,20,21,995539.5942285862,23.86,39.78,19,23,3,18,0,0,18,0,29,9,0,11,12,43
86,50,0,50,0.0,20,21,995456.9446732563,23.86,39.78,19,23,0,18,0,0,18,0,32,9,0,11,12,43
87,50,0,50,0.0,20,21,995370.3602418174,23.86,39.78,19,23,0,14,0,0,14,0,36,9,0,11,12,43
88,50,0,50,0.0,20,21,995279.7020751745,23.86,39.78,19,23,0,13,1,0,14,0,36,9,0,11,12,43
89,50,1,49,0.02,20,21,995184.8280851669,23.72,40.08,19,23,1,9,0,0,9,0,40,9,0,11,12,43
90,50,1,49,0.02,20,21,995085.5929174534,23.68,40.12,19,23,1,18,0,0,18,0,31,9,0,11,12,43
91,50,0,50,0.0,20,21,994981.847914395,23.68,40.12,19,23,0,14,0,0,14,0,36,9,0,11,12,43
92,50,0,50,0.0,20,21,994873.4410779409,23.68,40.12,19,23,0,20,0,0,20,0,30,9,0,11,12,43
93,50,1,49,0.02,20,21,994760.2170325115,23.66,40.04,19,23,1,15,0,0,15,0,34,9,0,11,12,43
94,50,1,49,0.02,20,21,994642.0169878836,23.6,39.78,19,23,1,18,0,0,18,0,31,9,0,11,12,43
95,50,0,50,0.0,20,21,994518.6787020741,23.6,39.78,19,23,0,11,0,0,11,0,39,9,0,11,12,43
96,50,0,50,0.0,20,21,994390.0364442247,23.6,39.78,19,23,0,14,0,0,14,0,36,9,0,11,12,43
97,50,1,49,0.02,20,21,994255.920957486,23.58,39.78,19,23,1,15,0,0,15,0,34,9,0,11,12,43
98,50,0,50,0.0,20,21,994116.1594219017,23.58,39.78,19,23,0,15,0,0,15,0,35,9,0,11,12,43
99,50,0,50,0.0,20,21,993970.5754172932,23.58,39.78,19,23,0,16,0,0,16,0,34,9,0,11,12,43
100,50,1,49,0.02,20,21,993818.988886144,23.56,40.16,19,23,1,17,0,0,17,0,32,9,0,11,12,43
101,50,0,50,0.0,20,21,993661.2160964835,23.56,40.16,19,23,0,14,0,0,14,0,36,9,0,11,12,43
102,50,0,50,0.0,20,21,993497.0696047713,23.56,40.16,19,23,0,15,0,0,15,0,35,9,0,11,12,43
103,50,3,47,0.06,20,21,993326.3582187821,23.42,39.52,19,23,3,5,0,0,5,0,42,9,0,11,12,43
