run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,1,14,56.0,5,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,2,12,42.0,4,4,4,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,3,17,32.0,5,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,4,39,30.0,4,4,4,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,5,32,26.0,3,9,9,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,6,18,22.0,3,3,3,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,7,53,22.0,3,3,3,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,8,43,20.0,3,3,3,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,9,96,18.0,3,3,3,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,10,90,16.0,5,11,11,39
