run_id,traffic_seed,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,0,18,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,0,86,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,1,66,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,2,56,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,3,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,4,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,6,88,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,8,24,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,10,17,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,10,27,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,11,27,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,12,14,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,12,32,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,12,39,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,12,43,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,13,23,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,14,17,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,14,31,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,14,41,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,14,83,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,15,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,15,43,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,15,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,16,34,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,17,18,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,17,53,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,17,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,18,61,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,19,22,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,19,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,22,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,23,91,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,24,91,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,25,43,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,26,45,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,27,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,28,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,29,53,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,30,48,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,32,35,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,32,90,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,33,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,35,53,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,38,62,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,38,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,39,46,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,39,78,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,39,86,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,40,72,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,44,65,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,44,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,46,73,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,47,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,49,90,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,52,77,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,52,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,57,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,57,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,59,89,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,64,65,18
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,65,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,75,84,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,75,90,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,79,86,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,80,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,80,97,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,84,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,90,99,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,387,94,97,1
