run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,14,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,16,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,17,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,18,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,19,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,20,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,52,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,0,55,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,0,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,6,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,21,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,43,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,44,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,47,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,48,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,49,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,51,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,55,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,1,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,6,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,7,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,16,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,21,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,22,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,42,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,44,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,47,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,48,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,49,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,50,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,53,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,54,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,6,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,8,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,9,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,11,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,17,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,21,0,1
