run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,1,6,27.0,4,5,5,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,2,24,24.0,4,6,6,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,3,61,24.0,5,22,22,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,97,24.0,4,5,5,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,51,20.0,5,14,14,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,6,18,18.0,4,19,19,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,7,85,18.0,4,4,4,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,92,18.0,3,21,21,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,87,15.0,4,7,7,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,10,73,14.0,3,3,3,81
