run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,1,98,21.0,4,4,4,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,2,47,18.0,4,6,6,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,3,63,18.0,4,5,5,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,4,49,16.0,5,28,28,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,5,56,14.0,3,3,3,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,6,25,12.0,3,5,5,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,7,72,10.0,3,3,3,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,8,64,8.0,3,3,3,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,9,1,6.0,2,2,2,56
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,316,10,4,6.0,2,2,2,56
