run_id,ci_l,top10_flight_ids,top10_point_coverage,top10_pair_coverage,remaining_edges_after_top10_removal,lcc_ratio_after_top10_removal
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,"[83, 49, 45, 98, 33, 64, 47, 63, 25, 59]",0.5887850467289719,0.4444444444444444,40,0.12
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,"[98, 47, 63, 49, 56, 25, 72, 64, 1, 4]",0.5233644859813084,0.3888888888888889,44,0.12
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,"[47, 49, 63, 56, 83, 33, 4, 45, 1, 37]",0.5327102803738317,0.4166666666666667,42,0.12
