global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
201,stage2,1,1154373.9054618324,27041.07080967523,59803.09686417616,1122.3728631663123,24,17,0,21,0.9999999999996875
202,stage2,2,849344.2250930237,40205.65820503181,58430.55238030233,1124.602958175012,18,29,0,16,0.99999999999
203,stage2,3,677806.4801770728,42964.46024408609,59817.28379731382,1138.144959624636,14,26,0,14,0.9999999999240625
204,stage2,4,583763.8174624137,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999999968
205,stage2,5,583763.8170846864,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999999990234375
206,stage2,6,583763.8162485083,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999999757
207,stage2,7,583763.8146248737,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999999947478125
208,stage2,8,583763.811755332,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999998976
209,stage2,9,583763.8070304134,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999999815471875
210,stage2,10,583763.7996680549,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999996875
211,stage2,11,583763.7886920265,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999999496715625
212,stage2,12,583763.7729103562,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999992224
213,stage2,13,583763.7508937565,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999998839709375
214,stage2,14,583763.7209540504,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999983193
215,stage2,15,583763.6811225967,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999997626953125
216,stage2,16,583763.629128716,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999967232
217,stage2,17,583763.562378117,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999995562946875
218,stage2,18,583763.4779313215,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999940951
219,stage2,19,583763.3724820912,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999992262190625
220,stage2,20,583763.2423358529,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.999999
221,stage2,21,583763.083388125,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999987237184375
222,stage2,22,583762.8911029419,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999838949
223,stage2,23,583762.660491282,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999979886428125
224,stage2,24,583762.3860894914,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999751168
225,stage2,25,583762.0619377117,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999969482421875
226,stage2,26,583761.681558304,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999628707
227,stage2,27,583761.2379342765,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999955159665626
228,stage2,28,583760.7234877087,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999462176
229,stage2,29,583760.1300581787,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999935902659375
230,stage2,30,583759.4488811881,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.99999240625
231,stage2,31,583758.6705665883,48856.58294472487,59928.193759031055,1139.1872462717454,12,29,0,12,0.9999910533903125
