global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
1,stage1,1,3154563.0748263914,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.9999999999996875
2,stage1,2,3154563.0747958687,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.99999999999
3,stage1,3,3154563.0745881195,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.9999999999240625
4,stage1,4,3154563.07381915,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.99999999968
5,stage1,5,2981379.3118784823,8264.358918068845,59074.12699468698,763.8995817474719,63,6,0,0.9999999990234375
6,stage1,6,2923296.169764159,7767.956611226117,58856.631463009326,760.268890559132,62,6,0,0.99999999757
7,stage1,7,2923296.161525378,7767.956611226117,58856.631463009326,760.268890559132,62,6,0,0.9999999947478125
8,stage1,8,2923296.146964512,7767.956611226117,58856.631463009326,760.268890559132,62,6,0,0.99999998976
9,stage1,9,2886107.3367641885,6882.080286613781,59062.17557222284,760.0923209838186,61,5,0,0.9999999815471875
10,stage1,10,2831780.8968109163,11742.111140292447,58905.68402900159,757.6201890126889,60,7,0,0.99999996875
11,stage1,11,2685938.135496113,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.9999999496715625
12,stage1,12,2685938.061933971,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.99999992224
13,stage1,13,2685937.9593093316,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.9999998839709375
14,stage1,14,2685937.819753196,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.99999983193
15,stage1,15,2685937.634089258,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.9999997626953125
16,stage1,16,2685937.3917333367,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.99999967232
17,stage1,17,2685937.0805928204,11228.494781573068,58808.34794527764,757.6201890126889,57,7,0,0.9999995562946875
18,stage1,18,2685590.7779652183,11929.560311264313,58800.00265498033,757.6201890126889,57,7,0,0.99999940951
19,stage1,19,2684837.0767824915,9176.418687636104,58786.5184682776,757.6201890126889,57,7,0,0.9999992262190625
20,stage1,20,2682509.5052605295,9459.181307279594,58739.615831385454,757.6201890126889,57,5,0,0.999999
21,stage1,21,2682508.7652330482,9459.181307279594,58739.615831385454,757.6201890126889,57,5,0,0.9999987237184375
22,stage1,22,2682507.8699933267,9459.181307279594,58739.615831385454,757.6201890126889,57,5,0,0.99999838949
23,stage1,23,2682506.79631352,9459.181307279594,58739.615831385454,757.6201890126889,57,5,0,0.9999979886428125
