plan_a,plan_b,cell_x,cell_y,cell_z,time_a,time_b,time_gap,required_gap,tried_delay_a,tried_delay_b,tried_speed_a,tried_speed_b,tried_reroute,reason_failed
1,85,56,0,1,1115.0683331311498,1109.5219852898256,5.546347841324177,118.01763230839968,False,False,False,False,False,remaining_after_repair
38,40,33,31,2,914.5428849484113,925.4849696824301,-10.942084734018863,78.59349649318845,False,False,False,False,False,remaining_after_repair
69,92,32,25,1,781.7387717222873,755.0299274960026,26.70884422628467,86.38329575665793,False,False,False,False,False,remaining_after_repair
3,89,35,30,1,1280.7069174828061,1274.3945911249407,6.312326357865459,77.44615077884208,False,False,False,False,False,remaining_after_repair
4,56,15,26,2,1336.2934793474717,1326.4095456030425,9.883933744429214,72.86310449755894,False,False,False,False,False,remaining_after_repair
5,85,50,1,1,973.6868343655967,1036.368170961949,-62.68133659635237,84.44659308727347,False,False,False,False,False,remaining_after_repair
5,85,49,1,1,984.7400568689272,1024.9632163846632,-40.223159515735915,84.42935853234445,False,False,False,False,False,remaining_after_repair
5,85,48,1,1,995.7932793722578,1013.5582618073773,-17.764982435119578,84.41212397741546,False,False,False,False,False,remaining_after_repair
5,85,47,1,1,1006.8465018755883,1002.1533072300915,4.69319464549676,84.39488942248646,False,False,False,False,False,remaining_after_repair
5,85,46,1,1,1017.8997243789188,990.7483526528057,27.151371726113098,84.37765486755747,False,False,False,False,False,remaining_after_repair
5,85,45,1,1,1028.9529468822493,979.3433980755199,49.609548806729435,84.36042031262846,False,False,False,False,False,remaining_after_repair
5,85,44,1,1,1040.0061693855798,967.938443498234,72.06772588734577,84.34318575769947,False,False,False,False,False,remaining_after_repair
24,95,28,51,2,991.1112617646253,984.5481168410956,6.563144923529649,92.97653325974137,False,False,False,False,False,remaining_after_repair
7,29,43,38,1,1525.0430299869922,1549.5866252975047,-24.5435953105125,77.57338984217526,False,False,False,False,False,remaining_after_repair
13,75,3,49,1,1042.945054908938,1017.1010153745475,25.84403953439039,81.62647701778798,False,False,False,False,False,remaining_after_repair
49,67,51,24,1,1211.5077042772425,1205.349616863248,6.158087413994508,77.06694335574453,False,False,False,False,False,remaining_after_repair
87,88,8,26,1,789.9717360180789,816.8186095208026,-26.846873502723724,77.22043147177274,False,False,False,False,False,remaining_after_repair
16,61,43,11,2,886.133389031599,914.0051050745037,-27.871716042904723,66.63826373178318,False,False,False,False,False,remaining_after_repair
16,61,44,12,2,898.17615541503,929.351670013284,-31.175514598253926,67.98031630558741,False,False,False,False,False,remaining_after_repair
66,76,36,24,1,860.1697025299429,918.3282643757091,-58.158561845766144,70.14005338263821,False,False,False,False,False,remaining_after_repair
16,45,34,30,1,1087.1029374074812,1033.8952623709067,53.20767503657453,90.51148601199412,False,False,False,False,False,remaining_after_repair
17,83,53,8,1,1973.0808265057722,2039.5073124639846,-66.42648595821242,120.74082572156934,False,False,False,False,False,remaining_after_repair
39,81,37,35,1,1698.7193284642694,1701.938078693612,-3.218750229342504,93.61286006530192,False,False,False,False,False,remaining_after_repair
30,35,30,43,1,870.5515862623836,907.235302874132,-36.68371661174842,74.80041640125633,False,False,False,False,False,remaining_after_repair
73,74,27,52,2,2244.7037464069676,2205.0893671619024,39.614379245065265,107.8409789282084,False,False,False,False,False,remaining_after_repair
62,90,35,30,2,1350.204882336356,1338.1765361128673,12.028346223488597,79.33866263942093,False,False,False,False,False,remaining_after_repair
23,70,37,27,1,381.9284349102601,327.7755821270569,54.15285278320317,72.39842549053986,False,False,False,False,False,remaining_after_repair
27,51,31,45,2,1906.701114214125,1893.2090861900913,13.492028024033743,87.48624748544809,False,False,False,False,False,remaining_after_repair
46,47,13,36,2,846.282771840306,881.7193370388185,-35.436565198512426,73.47265507712024,False,False,False,False,False,remaining_after_repair
31,63,28,37,3,1420.8434703689036,1443.555446923427,-22.711976554523517,79.25631105266851,False,False,False,False,False,remaining_after_repair
32,40,28,50,2,1181.471357160083,1130.0380095080009,51.43334765208215,92.93480521720393,False,False,False,False,False,remaining_after_repair
35,95,28,41,2,936.759995263506,881.527643026769,55.232352236736915,82.35211915826886,False,False,False,False,False,remaining_after_repair
36,48,10,20,2,776.4963383886306,745.4692977010558,31.027040687574868,86.63440485244944,False,False,False,False,False,remaining_after_repair
45,80,46,30,1,1188.1751994865638,1235.3912407508412,-47.216041264277465,89.0694465686347,False,False,False,False,False,remaining_after_repair
68,99,47,33,2,1947.2399498885027,1980.3523531984672,-33.11240330996452,75.15375032715177,False,False,False,False,False,remaining_after_repair
81,93,40,21,1,1551.025119464411,1601.2498838274312,-50.224764363020086,84.64424643752126,False,False,False,False,False,remaining_after_repair
