run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,1,87,48.0,5,5,5,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,2,44,42.0,4,4,4,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,3,39,30.0,4,15,15,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,4,63,30.0,3,3,3,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,5,29,20.0,3,3,3,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,6,45,18.0,3,32,32,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,7,60,18.0,3,32,32,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,8,85,14.0,3,27,27,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,9,9,13.0,2,2,2,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,174,10,57,12.0,3,3,3,86
