generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,19,52,2466948.926079575,35.666666666666664,83.0,19,52,3,0,0,0,0,0,0,8,1,11,43,44
2,50,10,40,0.2,28,38,1777339.6357105097,38.30769230769231,67.3076923076923,19,52,10,0,0,0,0,0,40,16,8,10,14,36
3,50,11,39,0.22,28,38,1777339.6355936949,38.55,64.6,19,52,10,0,0,0,0,0,39,16,8,10,14,36
4,50,6,44,0.12,28,38,1777339.6351613132,39.12,65.84,19,52,6,3,0,0,3,0,41,16,8,10,14,36
5,50,2,48,0.04,28,38,1777339.633998146,39.74074074074074,67.77777777777777,19,52,2,3,0,0,3,0,45,16,8,10,14,36
6,50,11,39,0.22,29,32,1531225.109365252,39.54545454545455,64.3030303030303,19,52,10,2,0,0,2,0,37,6,1,22,25,46
7,50,12,38,0.24,29,32,1531225.1050635586,39.25,61.325,19,52,10,3,0,0,3,0,35,6,1,22,25,46
8,50,12,38,0.24,29,32,1531225.097460931,37.56818181818182,57.86363636363637,19,52,10,2,1,0,3,0,35,6,1,22,25,46
9,50,8,42,0.16,29,32,1531225.0849426265,37.02173913043478,57.15217391304348,19,52,8,8,0,0,8,0,34,6,1,22,25,46
10,50,4,46,0.08,28,29,1397183.2272370616,36.15217391304348,55.69565217391305,19,52,4,4,0,0,4,0,42,13,1,14,15,39
11,50,4,46,0.08,28,29,1397183.2007047646,36.191489361702125,57.42553191489362,19,52,4,6,2,0,8,0,38,13,1,14,15,39
12,50,13,37,0.26,23,28,1337638.0430877267,34.40816326530612,53.326530612244895,19,52,10,9,1,0,10,0,27,11,3,12,14,41
13,50,9,41,0.18,23,28,1337637.9921482196,33.84,51.28,19,52,9,8,1,0,9,0,32,11,3,12,14,41
14,50,9,41,0.18,24,26,1233758.2748091584,32.8,50.88,19,52,9,10,0,0,10,0,31,10,2,13,14,42
15,50,8,42,0.16,24,26,1233758.1898318636,31.66,47.78,19,52,8,10,0,0,10,0,32,10,2,13,14,42
16,50,4,46,0.08,24,26,1233758.078906981,30.92,47.62,19,52,4,15,0,0,15,0,31,10,2,13,14,42
17,50,7,43,0.14,24,26,1233757.9364997926,30.64,47.88,19,52,7,13,0,0,13,0,30,10,2,13,14,42
18,50,7,43,0.14,24,26,1233757.7563391519,30.18,46.0,19,52,7,14,0,0,14,0,29,10,2,13,14,42
19,50,5,45,0.1,23,24,1144875.3661199338,29.66,45.52,19,52,5,17,1,1,19,1,26,13,0,10,11,39
20,50,5,45,0.1,23,24,1144875.108525807,29.18,46.62,19,52,5,11,0,0,11,0,34,13,0,10,11,39
21,50,2,48,0.04,23,24,1144874.793925848,29.06,46.14,19,52,2,17,0,0,17,0,31,13,0,10,11,39
22,50,4,46,0.08,23,24,1144874.4133421716,28.92,46.16,19,52,4,24,0,0,24,0,22,13,0,10,11,39
23,50,5,45,0.1,23,24,1144873.9569001726,28.54,42.92,19,52,5,15,0,0,15,0,30,13,0,10,11,39
24,50,7,43,0.14,23,24,1144873.4137858222,28.04,43.24,19,52,7,16,1,0,17,0,26,13,0,10,11,39
25,50,1,49,0.02,22,23,1103497.4043855467,28.0,43.16,19,52,1,20,1,0,21,0,28,9,0,14,14,43
26,50,7,43,0.14,22,23,1103496.679203678,27.72,42.54,19,52,7,24,0,0,24,0,19,9,0,14,14,43
27,50,4,46,0.08,22,23,1103495.8334478482,27.44,43.36,19,52,4,14,1,0,15,0,31,9,0,14,14,43
28,50,2,48,0.04,22,23,1103494.8526709818,27.34,43.5,19,52,2,23,0,0,23,0,25,9,0,14,14,43
29,50,3,47,0.06,22,23,1103493.7213154798,27.2,43.38,19,52,3,19,2,0,21,0,26,9,0,14,14,43
30,50,3,47,0.06,22,23,1103492.4226720906,27.08,43.54,19,52,3,23,1,0,24,0,23,9,0,14,14,43
31,50,6,44,0.12,21,22,1047256.8623378958,26.52,42.86,19,52,6,22,2,0,24,0,20,12,1,9,9,40
32,50,5,45,0.1,21,22,1047255.2606464028,26.44,41.66,19,52,5,25,1,0,26,0,19,12,1,9,9,40
33,50,3,47,0.06,21,22,1047253.4457290903,26.28,40.22,19,52,3,21,0,0,21,0,26,12,1,9,9,40
34,50,5,45,0.1,21,22,1047251.396971657,26.18,40.74,19,52,5,24,0,0,24,0,21,12,1,9,9,40
35,50,4,46,0.08,21,22,1047249.0924720191,25.96,40.94,19,52,4,15,0,0,15,0,31,12,1,9,9,40
36,50,3,47,0.06,21,22,1047246.5090012831,25.84,40.98,19,52,3,27,0,0,27,0,20,12,1,9,9,40
37,50,2,48,0.04,21,22,1047243.6219647253,25.64,40.52,19,52,2,22,0,0,22,0,26,12,1,9,9,40
38,50,2,48,0.04,21,22,1047240.4053627662,25.52,41.46,19,52,2,25,0,0,25,0,23,12,1,9,9,40
39,50,2,48,0.04,21,22,1047236.831751947,25.42,41.44,19,52,2,21,0,0,21,0,27,12,1,9,9,40
40,50,3,47,0.06,21,22,1047232.8722059063,25.32,40.62,19,52,3,17,0,0,17,0,30,12,1,9,9,40
41,50,6,44,0.12,21,22,1047228.4962763566,25.0,40.52,19,52,6,28,0,0,28,0,16,12,1,9,9,40
42,50,7,43,0.14,21,22,1047223.6719540587,24.48,40.68,19,24,7,28,0,0,28,0,15,12,1,9,9,40
43,50,0,50,0.0,21,22,1047218.3656298005,24.48,40.68,19,24,0,26,0,0,26,0,24,12,1,9,9,40
44,50,1,49,0.02,21,22,1047212.5420553718,24.42,40.66,19,24,1,29,0,0,29,0,20,12,1,9,9,40
45,50,3,47,0.06,18,21,997781.9720536217,24.18,40.86,18,21,3,23,1,0,24,0,23,13,2,6,6,39
46,50,3,47,0.06,18,21,997775.3326389671,24.04,40.88,18,21,3,32,0,0,32,0,15,13,2,6,6,39
47,50,1,49,0.02,18,21,997768.0900880734,24.0,41.48,18,21,1,29,1,0,30,0,19,13,2,6,6,39
48,50,3,47,0.06,18,21,997760.2042110617,23.84,40.44,18,21,3,25,0,0,25,0,22,13,2,6,6,39
49,50,4,46,0.08,18,21,997751.6330710723,23.7,40.2,18,21,4,26,1,0,27,0,19,13,2,6,6,39
50,50,1,49,0.02,18,21,997742.3329470927,23.62,39.92,18,21,1,25,1,0,26,0,23,13,2,6,6,39
51,50,0,50,0.0,18,21,997732.2582967897,23.62,39.92,18,21,0,31,0,0,31,0,19,13,2,6,6,39
52,50,3,47,0.06,18,21,997721.3617193375,23.54,39.72,18,21,3,33,0,0,33,0,14,13,2,6,6,39
53,50,1,49,0.02,18,21,997709.5939182503,23.46,40.22,18,21,1,28,1,0,29,0,20,13,2,6,6,39
54,50,4,46,0.08,18,21,997696.9036642102,23.3,39.9,18,21,4,23,0,0,23,0,23,13,2,6,6,39
55,50,0,50,0.0,18,21,997683.2377578986,23.3,39.9,18,21,0,33,1,0,34,0,16,13,2,6,6,39
56,50,1,49,0.02,18,21,997668.5409928262,23.28,39.8,18,21,1,30,0,0,30,0,19,13,2,6,6,39
57,50,0,50,0.0,18,21,997652.756118163,23.28,39.8,18,21,0,32,0,0,32,0,18,13,2,6,6,39
58,50,2,48,0.04,18,21,997635.8238015685,23.1,39.7,18,21,2,28,0,0,28,0,20,13,2,6,6,39
59,50,0,50,0.0,18,21,997617.682592022,23.1,39.7,18,21,0,36,0,0,36,0,14,13,2,6,6,39
