algorithm,min,mean,std
ga,0.7521881854645192,336667.4188708922,574485.2758863854
improved_fata,0.7545696751448943,0.755976897827716,0.002336291612746168
original_fata,0.752181776164115,0.7546496257239731,0.0021550212401285473
pso,0.7507670024048755,0.7515863218430693,0.0007101081924379991
