flight_id,degree,weighted_degree,degree_centrality,closeness,betweenness,pagerank,collective_influence,weighted_collective_influence
4,3,4,0.030303030303030304,0.0808080808080808,0.03442589156874871,0.0166527709680074,16.0,72.0
62,4,5,0.04040404040404041,0.08194622279129321,0.036899608328179755,0.020498207579915072,21.0,70.0
64,4,5,0.04040404040404041,0.07182940516273849,0.027417027417027416,0.023669621975877676,15.0,60.0
41,3,3,0.030303030303030304,0.07095343680709534,0.02329416615130901,0.01645684497188189,16.0,48.0
83,3,4,0.030303030303030304,0.06687565308254964,0.012987012987012986,0.01615388824477464,10.0,36.0
16,3,4,0.030303030303030304,0.05998125585754452,0.016491445062873634,0.016148191767142217,8.0,32.0
70,2,15,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.015787686366239652,1.0,30.0
87,2,15,0.020202020202020204,0.02693602693602694,0.0008245722531436817,0.015341967035557512,0.0,30.0
88,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.015787686366239652,1.0,30.0
53,2,4,0.020202020202020204,0.05704099821746881,0.004741290455576169,0.01345155882632626,3.0,28.0
49,3,3,0.030303030303030304,0.05314009661835749,0.006184291898577612,0.01751813884725867,8.0,27.0
92,3,3,0.030303030303030304,0.04700854700854701,0.003092145949288806,0.018001667966434546,10.0,24.0
56,2,2,0.020202020202020204,0.06393606393606394,0.009070294784580499,0.012567846330401065,6.0,22.0
80,2,2,0.020202020202020204,0.059369202226345084,0.012987012987012986,0.012699158653706336,4.0,22.0
52,1,21,0.010101010101010102,0.01346801346801347,0.0,0.009886254583696158,0.0,21.0
57,3,3,0.030303030303030304,0.04365079365079365,0.003916718202432488,0.017891295098197268,8.0,21.0
76,1,1,0.010101010101010102,0.01346801346801347,0.0,0.009886254583696158,0.0,21.0
10,2,2,0.020202020202020204,0.04700854700854701,0.003092145949288806,0.011958282328572784,6.0,20.0
65,3,3,0.030303030303030304,0.04526748971193415,0.005359719645433931,0.01909415117390318,6.0,18.0
28,2,2,0.020202020202020204,0.06464646464646465,0.0,0.010858354936013214,5.0,18.0
89,3,4,0.030303030303030304,0.05059288537549407,0.009070294784580499,0.016834785653472257,4.0,16.0
31,2,2,0.020202020202020204,0.054888507718696404,0.009070294784580499,0.012370833835218831,4.0,16.0
69,2,2,0.020202020202020204,0.042145593869731796,0.0012368583797155224,0.012095186353066684,4.0,16.0
2,1,3,0.010101010101010102,0.04654545454545455,0.0,0.007642353252994199,0.0,15.0
61,1,1,0.010101010101010102,0.016161616161616165,0.0,0.00863375630340135,0.0,15.0
91,1,1,0.010101010101010102,0.016161616161616165,0.0,0.00863375630340135,0.0,15.0
78,2,2,0.020202020202020204,0.04972804972804973,0.009070294784580499,0.013514315312217322,3.0,12.0
