run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,1,83,25.0,6,8,8,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,2,92,24.0,4,8,8,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,3,44,15.0,4,4,4,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,4,6,14.0,3,4,4,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,5,59,12.0,4,4,4,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,6,78,12.0,3,8,8,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,7,42,8.0,3,5,5,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,8,13,7.0,2,2,2,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,9,14,6.0,2,2,2,41
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,112,10,27,6.0,2,2,2,41
