run_id,traffic_seed,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,0,40,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,0,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,1,47,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,1,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,2,55,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,2,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,3,76,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,4,9,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,4,16,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,4,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,5,27,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,7,25,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,9,34,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,9,48,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,10,23,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,11,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,12,37,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,14,62,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,14,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,14,80,7
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,16,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,16,69,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,17,18,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,17,29,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,18,72,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,23,40,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,24,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,25,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,26,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,26,89,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,27,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,31,37,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,31,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,31,69,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,31,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,32,69,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,32,99,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,33,35,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,35,80,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,37,43,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,40,48,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,40,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,45,68,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,45,84,10
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,45,99,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,49,78,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,50,70,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,50,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,51,53,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,52,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,52,83,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,55,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,57,77,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,60,77,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,60,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,62,88,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,63,79,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,66,85,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,68,91,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,69,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,70,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,76,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,84,99,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,86,92,1
