action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,2,45,45,52,70,False,True,7.782700000007026,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,2,45,45,52,70,False,True,7.389400000192836,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,2,45,46,52,57,False,True,7.659700000203884,local_pair_not_improved,4,8,1,stage2_independent_matching,0,0,2-59,4,cluster,delay,2,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,57,45,46,,,
delay,2,45,45,52,70,False,True,7.384500000171101,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,3,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,2,45,45,52,70,False,True,7.7870999998594925,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,4,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,59,45,45,52,49,True,False,7.33700000000681,local_pair_points_decreased,4,0,3,stage2_independent_matching,0,0,2-59,4,cluster,delay,5,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,52,49,45,45,0.75,0.15,0.1
speed,54,45,44,49,47,True,False,7.791299999553303,local_pair_points_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,54,49,47,45,44,0.125,0.8,0.075
speed,37,44,43,47,45,True,False,7.4878000000353495,local_pair_points_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,2,0,37,76,speed,37,47,45,44,43,0.0625,0.9,0.0375
delay,42,43,43,45,45,False,True,7.953799999995681,local_pair_not_improved,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,45,45,43,43,,,
delay,42,43,43,45,45,False,True,7.720299999618874,local_pair_not_improved,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,45,45,43,43,,,
