run_id,optimizer_seed,generation,best_paper_fitness,best_conflict_pairs,best_conflict_points,mean_conflict_pairs,mean_conflict_points,min_conflict_points,zero_conflict_individual_count,elite_present_before_injection,elite_reinjected,elite_replacement_count_cumulative
20260913_213050_360342_A_plus_elite,9,186,572764.8438338768,15,15,23.711111111111112,26.733333333333334,15,0,False,False,0
20260913_213050_360342_A_plus_elite,9,187,571613.5316463843,14,14,22.487179487179485,25.307692307692307,14,0,False,False,0
20260913_213050_360342_A_plus_elite,9,188,570437.3273016899,14,14,23.3,29.7,14,0,False,False,0
20260913_213050_360342_A_plus_elite,9,189,569235.8293248988,13,13,23.72093023255814,29.53488372093023,13,0,False,False,0
20260913_213050_360342_A_plus_elite,9,190,568008.6319473283,14,14,22.34375,26.125,14,0,False,False,0
20260913_213050_360342_A_plus_elite,9,191,566755.325083668,16,16,25.0,30.404761904761905,16,0,False,False,0
20260913_213050_360342_A_plus_elite,9,192,565475.4943091413,13,13,23.0,26.34090909090909,13,0,False,False,0
20260913_213050_360342_A_plus_elite,9,193,564168.7208366654,13,13,20.58974358974359,24.76923076923077,13,0,False,False,0
20260913_213050_360342_A_plus_elite,9,194,562834.5814940119,15,15,26.428571428571427,32.285714285714285,15,0,False,False,0
20260913_213050_360342_A_plus_elite,9,195,561472.6487009684,13,13,25.209302325581394,32.74418604651163,13,0,False,False,0
20260913_213050_360342_A_plus_elite,9,196,560082.4904464984,13,13,22.475,28.875,13,0,False,False,0
20260913_213050_360342_A_plus_elite,9,197,558663.6702659018,13,13,25.790697674418606,33.53488372093023,13,0,False,False,0
20260913_213050_360342_A_plus_elite,9,198,515050.8138770491,12,12,24.37837837837838,29.243243243243242,12,0,True,False,0
20260913_213050_360342_A_plus_elite,9,199,429754.96745838755,10,10,24.46938775510204,31.897959183673468,10,0,True,False,0
20260913_213050_360342_A_plus_elite,9,200,428433.30881184427,10,10,16.1,17.15,10,0,True,False,0
