run_id,optimizer_seed,generation,elite_pairs,elite_points,elite_paper_fitness,elite_risk_increase,elite_changed_flights,elite_delayed_flights,elite_generation_origin,elite_in_population,elite_reinjected,replaced_individual_pairs,replaced_individual_points,replaced_individual_fitness
20260913_213050_360342_A_plus_elite,9,45,17,18,857994.2245670017,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,46,17,18,857988.526900332,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,47,17,18,857982.3116474852,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,48,17,18,857975.5443191966,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,49,17,18,857968.1889270149,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,50,17,18,857960.2079514046,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,51,17,18,857951.5623098491,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,52,17,18,857942.2113249514,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,53,17,18,857932.1126925384,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,54,17,18,857921.2224497627,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,55,17,18,857909.4949432043,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,56,17,18,857896.8827969739,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,57,17,18,857883.3368808145,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,58,17,18,857868.806278205,0.26242707434341883,44,24,33,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,59,17,18,853356.7500106461,0.17785120391711254,44,24,59,True,False,,,
20260913_213050_360342_A_plus_elite,9,60,17,18,853340.178151393,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,61,17,18,853322.4638976561,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,62,17,18,853303.549177848,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,63,17,18,853283.3739849265,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,64,17,18,853261.8763446644,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,65,17,18,853238.9922839231,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,66,17,18,853214.6557989215,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,67,17,18,853188.7988235088,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,68,17,18,853161.3511974348,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,69,17,18,853132.2406346218,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,70,17,18,853101.3926914354,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,71,17,18,853068.7307349558,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,72,17,18,853034.1759112489,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,73,17,18,852997.647113638,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,74,17,18,852959.0609509746,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,75,17,18,852918.3317159099,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,76,17,18,852875.3713531654,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,77,17,18,852830.0894278053,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,78,17,18,852782.3930935061,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,79,17,18,852732.1870608297,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,80,17,18,852679.3735654933,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,81,17,18,852623.8523366407,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,82,17,18,852565.5205651144,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,83,17,18,852504.2728717258,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,84,17,18,852440.0012755272,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,85,17,18,852372.5951620825,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,86,17,18,852301.9412517385,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,87,17,18,852227.9235678968,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,88,17,18,852150.4234052842,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,89,17,18,852069.3192982238,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,90,17,18,851984.4869889076,0.17785120391711254,44,24,59,True,True,inf,inf,inf
20260913_213050_360342_A_plus_elite,9,91,17,18,851895.7993956658,0.17785120391711254,44,24,59,True,True,inf,inf,inf
