flight_a,flight_b,conflict_point_count,continuous_segment_count,max_continuous_segment_length,first_conflict_cell,last_conflict_cell,time_gap_mean,time_gap_min,time_gap_max
60,74,1,1,1,"(28,7,1)","(28,7,1)",-31.543455769913066,-31.543455769913066,-31.543455769913066
60,89,1,1,1,"(32,29,0)","(32,29,0)",-30.810685298993917,-30.810685298993917,-30.810685298993917
60,90,1,1,1,"(29,17,1)","(29,17,1)",11.409046027511181,11.409046027511181,11.409046027511181
61,83,1,1,1,"(20,47,0)","(20,47,0)",13.03616183965596,13.03616183965596,13.03616183965596
63,64,1,1,1,"(39,27,0)","(39,27,0)",-25.63371156910398,-25.63371156910398,-25.63371156910398
63,88,1,1,1,"(15,45,1)","(15,45,1)",43.25194262954227,43.25194262954227,43.25194262954227
64,72,1,1,1,"(25,26,1)","(25,26,1)",-16.917391932648115,-16.917391932648115,-16.917391932648115
66,87,1,1,1,"(7,5,0)","(7,5,0)",-33.13950570705401,-33.13950570705401,-33.13950570705401
68,95,1,1,1,"(23,33,0)","(23,33,0)",-46.51056716996209,-46.51056716996209,-46.51056716996209
72,93,1,1,1,"(27,22,1)","(27,22,1)",-42.01007808247164,-42.01007808247164,-42.01007808247164
77,83,1,1,1,"(20,39,0)","(20,39,0)",9.081659887603564,9.081659887603564,9.081659887603564
83,98,1,1,1,"(19,21,1)","(19,21,1)",-47.94574996373558,-47.94574996373558,-47.94574996373558
96,97,1,1,1,"(47,8,0)","(47,8,0)",35.0033855319316,35.0033855319316,35.0033855319316
