flight_id,unique_conflict_partners,conflict_point_involvement,binary_degree,multi_degree,weighted_strength,pagerank_binary,betweenness_binary,CI_binary_l1,CI_binary_l2,CI_binary_l3,CI_binary_l4,CI_multi_l1,CI_multi_l2,CI_multi_l3,CI_multi_l4,CI_weighted_l1,CI_weighted_l2,CI_weighted_l3,CI_weighted_l4
40,2,2,2,2,2,0.010899888765685144,0.0045351473922902496,2.0,3.0,5.0,2.0,2.0,3.0,6.0,3.0,2.0,3.0,6.0,3.0
41,1,1,1,1,1,0.006795163752055808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2,3,2,3,3,0.009384421602116446,0.018552875695732836,5.0,3.0,3.0,4.0,58.0,52.0,6.0,12.0,58.0,52.0,6.0,12.0
43,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4,4,4,4,4,0.014552676581639588,0.03607503607503607,15.0,3.0,9.0,6.0,30.0,21.0,15.0,9.0,30.0,21.0,15.0,9.0
46,2,2,2,2,2,0.008168749851180834,0.08163265306122448,6.0,4.0,6.0,10.0,9.0,9.0,30.0,33.0,9.0,9.0,30.0,33.0
47,4,6,4,6,6,0.019085648503693126,0.13646670789527932,9.0,18.0,27.0,27.0,35.0,155.0,165.0,70.0,35.0,155.0,165.0,70.0
48,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,5,28,5,28,28,0.039495739001317864,0.13378684807256236,16.0,16.0,16.0,20.0,756.0,135.0,162.0,243.0,756.0,135.0,162.0,243.0
50,2,2,2,2,2,0.01046101368676072,0.012987012987012986,3.0,6.0,3.0,3.0,3.0,7.0,4.0,5.0,3.0,7.0,4.0,5.0
51,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2,2,2,2,2,0.012674066641843009,0.0037105751391465673,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0
53,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,2,1,2,2,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,1,2,1,2,2,0.010026016108309504,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,2.0,3.0,5.0,2.0
56,3,3,3,3,3,0.014019643795020489,0.10183467326324469,6.0,14.0,12.0,14.0,6.0,60.0,60.0,20.0,6.0,60.0,60.0,20.0
57,1,1,1,1,1,0.004634632542074121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2,5,2,5,5,0.01576943515000974,0.05772005772005772,5.0,5.0,7.0,6.0,36.0,24.0,132.0,132.0,36.0,24.0,132.0,132.0
59,3,6,3,6,6,0.018413572278338158,0.009482580911152338,8.0,4.0,2.0,6.0,35.0,20.0,20.0,25.0,35.0,20.0,20.0,25.0
60,3,3,3,3,3,0.022660668150897116,0.0006184291898577612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2,2,2,2,2,0.01182372160444202,0.009482580911152338,3.0,5.0,2.0,4.0,3.0,6.0,3.0,5.0,3.0,6.0,3.0,5.0
62,1,1,1,1,1,0.00492376885218045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,4,5,4,5,5,0.02173148293293939,0.0797773654916512,9.0,18.0,15.0,12.0,16.0,32.0,36.0,112.0,16.0,32.0,36.0,112.0
64,3,3,3,3,3,0.014318307549755693,0.05875077303648732,12.0,8.0,8.0,4.0,14.0,10.0,12.0,12.0,14.0,10.0,12.0,12.0
