run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,1,3,48.0,4,4,4,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,2,36,48.0,5,5,5,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,3,9,42.0,4,4,4,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,4,31,40.0,5,5,5,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,5,65,40.0,5,7,7,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,6,87,40.0,5,5,5,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,7,70,33.0,4,4,4,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,8,6,28.0,3,4,4,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,9,43,28.0,5,32,32,70
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,10,4,26.0,3,6,6,70
