run_id,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,0,46,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,70,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,11,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,65,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,39,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,4,9,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,4,26,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,4,58,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,9,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,6,55,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,6,70,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,6,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,7,72,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,8,57,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,9,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,9,42,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,11,12,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,33,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,97,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,87,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,94,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,54,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,21,79,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,22,56,1
