run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,1,72,145.0,6,48,48,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,2,0,135.0,6,7,7,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,3,64,116.0,5,43,43,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,4,95,108.0,7,10,10,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,5,43,76.0,5,9,9,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,6,68,76.0,5,9,9,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,7,23,75.0,4,10,10,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,8,53,69.0,4,4,4,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,9,84,60.0,4,5,5,88
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,232,10,9,54.0,4,5,5,88
