run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,0,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,1,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,3,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,4,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,5,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,6,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,7,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,16,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,25,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,30,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,47,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,51,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,52,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,53,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,55,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,56,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,57,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,0,58,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,8,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,9,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,10,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,10,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,11,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,12,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,13,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,14,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,15,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,16,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,17,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,17,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,18,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,19,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,20,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,21,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,25,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,29,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,32,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,33,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,34,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,36,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,37,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,38,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,39,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,40,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,41,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,41,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,42,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,42,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,43,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,43,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,44,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,44,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,45,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,45,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,46,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,46,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,47,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,47,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,48,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,48,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,49,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,49,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,50,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,50,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,51,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,51,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,52,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,53,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,55,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,56,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,57,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,1,58,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,9,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,11,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,12,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,13,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,16,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,18,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,22,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,2,27,0,1
