run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,1,58,108.0,5,5,5,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,2,4,70.0,6,6,6,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,3,81,54.0,4,19,19,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,4,29,51.0,4,6,6,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,5,68,48.0,4,26,26,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,6,5,42.0,4,4,4,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,7,26,40.0,5,5,5,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,8,6,39.0,4,6,6,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,9,52,39.0,4,7,7,86
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,331,10,17,36.0,4,31,31,86
