run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,1,24,119.0,8,9,9,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,2,87,95.0,6,9,9,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,3,9,80.0,6,41,41,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,4,5,69.0,4,7,7,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,5,16,69.0,4,5,5,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,6,4,68.0,5,36,36,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,7,13,60.0,4,5,5,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,8,69,48.0,3,4,4,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,9,95,36.0,4,5,5,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,50,10,7,32.0,3,3,3,81
