run_id,plan_a,plan_b,conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,53,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,46,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,52,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,48,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,62,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,5,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,11,50,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,72,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,13,25,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,13,91,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,23,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,14,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,15,32,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,15,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,24,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,38,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,70,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,80,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,16,85,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,34,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,36,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,18,72,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,46,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,19,68,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,81,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,20,99,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,21,73,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,21,90,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,22,27,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,22,86,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,25,71,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,25,90,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,27,34,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,31,82,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,32,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,33,63,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,35,42,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,35,74,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,36,41,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,55,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,39,75,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,40,71,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,47,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,96,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,45,59,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,46,80,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,47,52,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,47,99,7
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,48,54,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,48,62,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,48,78,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,51,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,51,73,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,54,85,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,55,92,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,59,62,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,60,74,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,60,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,62,64,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,62,67,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,64,78,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,64,80,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,66,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,93,15
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,95,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,96,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,74,98,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,75,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,76,92,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,86,88,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,86,99,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,92,93,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,93,96,1
