run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,1,64,48.0,5,9,9,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,2,93,48.0,7,21,21,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,3,74,40.0,6,25,25,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,4,46,39.0,4,4,4,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,5,16,32.0,5,7,7,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,6,62,32.0,5,6,6,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,7,42,28.0,3,3,3,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,8,5,27.0,4,4,4,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,9,48,24.0,4,8,8,68
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,10,92,24.0,3,4,4,68
