run_id,optimizer_seed,generation,best_paper_fitness,best_conflict_pairs,best_conflict_points,mean_conflict_pairs,mean_conflict_points,min_conflict_points,zero_conflict_individual_count,elite_present_before_injection,elite_reinjected,elite_replacement_count_cumulative
20260913_213050_360342_A_plus_elite,6,1,2808936.437664208,39,59,39.0,63.0,59,0,True,False,0
20260913_213050_360342_A_plus_elite,6,2,2195765.6344403396,32,50,41.2,64.6,47,0,True,False,0
20260913_213050_360342_A_plus_elite,6,3,1792803.7003396791,28,44,36.2,49.4,38,0,True,False,0
20260913_213050_360342_A_plus_elite,6,4,1792803.6999038276,24,49,36.666666666666664,71.16666666666667,41,0,True,False,0
20260913_213050_360342_A_plus_elite,6,5,1792803.6987313263,24,48,39.27272727272727,70.9090909090909,45,0,True,False,0
20260913_213050_360342_A_plus_elite,6,6,1178264.105798003,20,25,36.142857142857146,57.57142857142857,25,0,True,False,0
20260913_213050_360342_A_plus_elite,6,7,1178264.102491313,28,41,38.3,58.5,41,0,False,True,1
20260913_213050_360342_A_plus_elite,6,8,1178264.096647211,24,41,38.0,59.27272727272727,41,0,False,True,2
20260913_213050_360342_A_plus_elite,6,9,1178264.087024453,34,50,43.714285714285715,63.57142857142857,49,0,False,True,3
20260913_213050_360342_A_plus_elite,6,10,1178264.0720302917,35,54,45.111111111111114,73.22222222222223,52,0,False,True,4
20260913_213050_360342_A_plus_elite,6,11,1178264.0496765387,19,25,40.18181818181818,70.0,25,0,True,False,4
20260913_213050_360342_A_plus_elite,6,12,1126136.8268842273,20,24,33.90909090909091,58.72727272727273,24,0,False,True,5
20260913_213050_360342_A_plus_elite,6,13,1104952.6076050308,18,30,38.0625,65.0625,23,0,True,False,5
20260913_213050_360342_A_plus_elite,6,14,1104952.550473261,20,32,38.76923076923077,68.38461538461539,32,0,False,True,6
20260913_213050_360342_A_plus_elite,6,15,1104952.4744657867,22,28,37.642857142857146,63.785714285714285,28,0,False,True,7
20260913_213050_360342_A_plus_elite,6,16,1104952.3752496347,21,28,35.8,57.6,25,0,False,True,8
20260913_213050_360342_A_plus_elite,6,17,1104952.2478743077,25,35,40.0,67.15384615384616,35,0,False,True,9
20260913_213050_360342_A_plus_elite,6,18,1104952.0867306122,18,34,37.1875,67.1875,30,0,False,True,10
20260913_213050_360342_A_plus_elite,6,19,1104951.8855094938,27,76,42.333333333333336,71.93333333333334,36,0,False,True,11
