algorithm,min,mean,std
ga,2000.7564921365292,2000.7575860881973,0.0013733922815226984
improved_fata,2000.755808579341,2000.7562888554203,0.0006862467992556285
original_fata,1000.7562004622092,1667.4234199887344,577.3507479805885
pso,1000.7576667793161,1667.4229769479443,577.3490944293234
