method,n_runs,final_conflicts_mean,final_conflicts_std,final_conflicts_median,zero_conflict_success_rate,new_conflict_pairs_mean,exact_survivors_mean,changed_flights_mean,delayed_flights_mean,risk_increase_mean,risk_increase_std,fitness_mean,runtime_mean
A_current_stage2,10,11.2,3.457680661303984,10.0,0.0,3.1,7.6,46.5,21.5,0.41174252040573806,0.4964297413923378,478060.8847189758,39.284622839999976
A_plus_global_safeguard,10,10.9,4.701063709417263,11.0,0.0,4.3,6.5,47.3,21.9,0.7549377850774959,0.8068260449364067,470364.5701810086,40.5222476200006
