action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,2,45,44,52,48,True,False,7.804699999724107,local_pair_points_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,reroute,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.15,0.6,0,0,2,59,reroute,2,52,48,45,44
speed,54,44,43,48,46,True,False,7.642000000032567,local_pair_points_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.8,0.075,1,0,27,54,speed,54,48,46,44,43
speed,37,43,42,46,44,True,False,8.605399999851215,local_pair_points_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,0.0625,0.9,0.0375,2,0,37,76,speed,37,46,44,43,42
delay,42,42,42,44,44,False,True,9.240999999747146,local_pair_not_improved,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.25,0.15,0.6,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,44,44,42,42
delay,42,42,42,44,44,False,True,20.212699999774486,local_pair_not_improved,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.25,0.15,0.6,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,44,44,42,42
delay,42,42,41,44,42,True,False,8.008700000118552,local_pair_points_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,2,0.25,0.15,0.6,ADM_ref6_independent_matching,0.625,0.075,0.3,3,0,42,78,delay,42,44,42,42,41
cruise_level,55,41,40,42,40,True,False,7.84879999991972,local_pair_points_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,42,40,41,40
cruise_level,3,40,40,40,40,True,False,7.7601000002687215,local_pair_points_decreased,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,0.0375,0.0375,0.925,5,0,3,65,reroute,3,40,40,40,40
speed,3,40,39,40,39,True,False,8.149000000230444,local_pair_points_decreased,1,0,0,stage2_independent_matching,6,0,3-79,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,0.03125,0.95,0.01875,6,0,3,79,speed,3,40,39,40,39
speed,6,39,38,39,38,True,False,7.911900000181049,local_pair_points_decreased,1,0,0,stage2_independent_matching,7,0,6-11,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,0.015625,0.975,0.009375,7,0,6,11,speed,6,39,38,39,38
speed,8,38,38,38,38,False,True,7.593499999984488,local_pair_not_improved,1,1,0,stage2_independent_matching,8,0,8-37,1,crossing,speed,0,0.015625,0.975,0.009375,ADM_ref6_independent_matching,,,,8,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.798599999659928,local_pair_not_improved,1,1,0,stage2_independent_matching,8,0,8-37,1,crossing,speed,1,0.015625,0.975,0.009375,ADM_ref6_independent_matching,,,,8,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,8.472600000004604,local_pair_not_improved,1,1,0,stage2_independent_matching,8,0,8-37,1,crossing,speed,2,0.015625,0.975,0.009375,ADM_ref6_independent_matching,,,,8,0,8,37,speed,8,38,38,38,38
speed,37,38,39,38,40,True,False,7.930000000214932,local_pair_points_decreased,1,0,2,stage2_independent_matching,8,0,8-37,1,crossing,speed,3,0.015625,0.975,0.009375,ADM_ref6_independent_matching,0.0078125,0.9875,0.0046875,8,0,8,37,speed,37,38,40,38,39
