generation,fitness
1,1872025.4722899175
2,1710682.063644787
3,1009947.222878169
4,1009947.2226336238
5,1009947.2219757625
6,1009947.2205194504
7,1009947.2176916809
8,1009947.2126940029
9,719688.1766499296
10,719688.1675403318
11,719688.153959466
12,719688.1344324806
13,719688.1071908886
14,719688.0701458739
15,719688.0208615965
16,719687.9565284975
17,719687.8739366072
18,719687.769448849
19,719687.6389743459
20,719687.4779417263
21,719687.2812724307
22,719687.0433540157
23,719686.758013462
24,719686.4184904783
25,719686.0174108088
26,719685.5467595381
27,719684.9978543972
28,719684.3613190695
29,719683.627056497
30,719682.7842221853
31,719681.8211975102
32,719680.7255630232
33,719679.4840717576
34,719678.0826225341
35,719676.5062332673
36,719674.7390142698
37,719672.7641415606
38,719670.5638301694
39,719668.1193074422
40,719665.4107863483
41,719662.4174387853
42,719659.1173688849
43,719655.4875863196
44,719651.5039796078
45,719647.1412894202
46,719642.3730818846
47,719637.1717218934
48,719631.5083464079
49,719625.3528377655
50,719618.6737969841
51,719611.4385170696
52,719603.6129563203
53,719595.1617116334
54,719586.0479918114
55,719576.2335908669
56,719565.6788613291
57,719554.3426875494
58,719542.1824590078
59,719529.1540436179
60,719515.2117610333
61,719500.3083559533
62,719484.3949714293
63,719467.4211221696
64,719449.3346678461
65,719430.0817864002
66,719409.6069473475
67,719387.8528850856
68,719364.7605721981
69,719340.2691927615
70,719314.3161156509
71,719286.8368678459
72,719257.7651077358
73,719227.0325984264
74,719194.5691810456
75,719160.3027480488
76,719124.159216525
77,719086.062501503
78,719045.9344892569
79,719003.6950106119
80,718959.2618142506
81,718912.5505400184
82,718863.4746922295
83,718811.945612973
84,718757.8724554181
85,623297.280148851
86,623245.7744409323
87,623191.8165893967
88,623135.3200597673
89,623076.1963052729
90,623014.354743717
91,622949.702734348
92,622882.1455547299
93,622811.5863776118
94,622737.9262477991
95,622661.0640590225
96,622580.8965308084
97,622497.3181853504
98,622410.2213243773
99,622319.496006025
100,622225.030021706
101,622126.7088729797
102,622024.4157484222
103,621918.0315004969
104,621807.4346224247
105,621692.5012250539
106,621573.1050137305
107,621449.1172651682
108,621320.4068043194
109,621186.8399812434
110,621048.2806479792
111,620904.5901354136
112,620755.6272301524
113,620601.2481513899
114,620441.3065277798
115,620275.6533743051
116,620104.1370691479
117,619926.6033305598
118,619742.8951937323
119,619552.852987667
120,619356.314312045
121,619153.1140140983
122,618943.084165479
123,618726.0540391295
124,618501.8500861533
125,618270.2959126849
126,618031.2122567594
127,617784.4169651836
128,617529.7249704057
129,617266.9482673852
130,616995.8958904637
131,616716.3738902345
132,616428.185310413
133,616131.1301647072
134,615825.0054136871
135,615509.6049416556
136,615184.7195335185
137,614850.136851654
138,614505.6414127843
139,614151.0145648438
140,613786.0344638514
141,613410.4760507791
142,613024.1110284226
143,612626.707838272
144,612218.0316373813
145,611797.8442752388
146,611365.9042706373
147,610921.9667885444
148,610465.7836169724
149,609997.1031438486
150,609515.6703338854
151,609021.2267054504
152,608513.5103074374
153,607992.2556961352
154,607457.1939120986
155,606908.0524570185
156,605950.5857579019
157,605372.8520219438
158,604780.2099472139
159,604172.372846558
160,603549.0503808295
161,602909.948535776
162,602254.7695989253
163,601583.2121364714
164,600894.9709701609
165,600189.7371541789
166,599467.1979520351
167,598727.0368134504
168,597968.9333512422
169,597192.5633182115
170,596397.5985840276
171,595583.7071121165
172,594750.5529365445
173,593897.7961389062
174,593025.092825209
175,592132.0951027614
176,591218.451057057
177,590283.8047286618
178,589327.7960900996
179,588350.0610227396
180,587350.2312936801
181,586327.934532637
182,543488.0698339578
183,454356.89067252184
184,453510.6978907713
185,452645.90829844825
186,451762.2170388347
187,450257.12511296617
188,404708.44074482995
189,403862.3775765881
190,402998.21756851353
191,402115.67194935255
192,401214.44889211404
193,400294.25349798595
194,399354.78778025234
195,398395.7506482112
196,310768.02679421694
197,309991.12298363505
198,309198.2833068768
199,265470.33467837673
200,264735.6630637708
