traffic_seed,environment_seed,building_map_hash,population_map_hash,risk_map_hash,environment_hash,error,generation_failures,astar_failures,runtime_sec,det_Nc,unc_Nc,conflict_edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_conflict_ratio,route_density_gini,route_cell_reuse_p90,route_cell_reuse_max,degree_gini,max_degree,top10_degree_point_coverage,top10_conflict_point_share,top1_degree_mean,top1_conflict_point_involvement,top3_degree_mean,top3_conflict_point_involvement,top5_degree_mean,top5_conflict_point_involvement,top10_degree_mean,top10_conflict_point_involvement,degree_cv,degree_max_to_mean,calibration_score,hub_rank_score,candidate_tag
459,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3415241000038804,127,171,75,0.43859649122807015,0.4,0.6783625730994152,0.5816997407705372,3.0,9,0.4348000000000001,5,0.4619883040935672,0.5847953216374269,5.0,31.0,4.333333333333333,83.0,4.2,119.0,3.7,174.0,0.7916228058025278,3.3333333333333335,2.613678914966807,0.43859649122807015,
460,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.414957199995115,84,157,78,0.28662420382165604,0.41025641025641024,0.5987261146496815,0.5999706152433425,3.0,10,0.4867948717948718,5,0.7070063694267515,0.6305732484076433,5.0,30.0,5.0,87.0,4.8,125.0,4.2,166.0,0.885079774056062,3.205128205128205,1.8470194412710987,0.28662420382165604,
461,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4496952000044985,60,98,75,0.42857142857142855,0.41333333333333333,0.3979591836734694,0.5772522764993495,3.0,11,0.4198666666666666,6,0.45918367346938777,0.41836734693877553,6.0,8.0,5.0,21.0,4.4,31.0,3.7,55.0,0.7859884081701064,4.0,0.6094177170815958,0.42857142857142855,
462,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.407261300002574,114,191,102,0.47643979057591623,0.4019607843137255,0.5916230366492147,0.5825746019001741,3.0,8,0.42176470588235304,7,0.4816753926701571,0.5287958115183246,7.0,31.0,6.333333333333333,77.0,5.8,110.0,5.0,165.0,0.7654596586644367,3.4313725490196076,2.527519924176614,0.47643979057591623,
463,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3550220999968587,82,124,84,0.3548387096774194,0.38095238095238093,0.4838709677419355,0.5756788502961766,3.0,10,0.44619047619047625,6,0.4112903225806452,0.4032258064516129,6.0,10.0,5.0,27.0,4.6,41.0,4.2,72.0,0.8068934858490734,3.5714285714285716,1.3842465468012148,0.3548387096774194,
464,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3111028999992413,100,161,93,0.38509316770186336,0.3333333333333333,0.5341614906832298,0.5856038501187755,3.0,11,0.4102150537634408,8,0.422360248447205,0.4968944099378882,8.0,20.0,6.333333333333333,55.0,5.8,82.0,4.9,125.0,0.7791804737416048,4.301075268817204,2.067688353582656,0.38509316770186336,
465,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3799692000029609,105,178,94,0.21348314606741572,0.3191489361702128,0.5786516853932584,0.5798662551440329,3.0,10,0.40978723404255324,5,0.4550561797752809,0.5280898876404494,5.0,24.0,5.0,69.0,4.8,105.0,4.4,158.0,0.7342737841164849,2.6595744680851063,2.5506981709847416,0.21348314606741572,
466,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4003953999999794,154,196,82,0.22959183673469388,0.4024390243902439,0.6632653061224489,0.5866030011362876,3.0,10,0.4456097560975609,6,0.25,0.5663265306122449,6.0,36.0,5.0,91.0,4.6,129.0,4.2,204.0,0.8113193843160926,3.658536585365854,3.640760880684325,0.22959183673469388,
467,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.2639942000023439,109,150,76,0.44666666666666666,0.3684210526315789,0.5866666666666667,0.59921396243494,3.0,10,0.4359210526315789,5,0.5,0.6066666666666667,5.0,36.0,4.333333333333333,94.0,4.2,125.0,3.9,156.0,0.7975464452995651,3.289473684210526,2.04752544069214,0.44666666666666666,
468,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4215930999998818,155,203,90,0.28078817733990147,0.3333333333333333,0.6305418719211823,0.5812455233010789,3.0,10,0.39588888888888896,5,0.2561576354679803,0.5665024630541872,5.0,38.0,4.666666666666667,103.0,4.4,144.0,4.2,216.0,0.7157832625958402,2.7777777777777777,3.6681265095802718,0.28078817733990147,
469,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.4117666999954963,103,153,80,0.24836601307189543,0.3625,0.5882352941176471,0.5991753747795414,3.0,10,0.44599999999999995,7,0.2875816993464052,0.5228758169934641,7.0,24.0,5.333333333333333,62.0,4.8,92.0,4.3,140.0,0.8338540040078959,4.375,2.211850387531475,0.24836601307189543,
470,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.2143819999982952,98,173,73,0.3699421965317919,0.4657534246575342,0.6647398843930635,0.5659171049419701,3.0,8,0.5234246575342465,6,0.41040462427745666,0.6184971098265896,6.0,27.0,5.333333333333333,80.0,5.2,127.0,4.7,184.0,0.9898148986027465,4.109589041095891,2.1725054370847623,0.3699421965317919,
471,2025,a4eb9cdd46eb259e1795ed48c756aecaba6cd1a3b2cf8ab5374fa12fc0a484e0,4f306a7f9a118b18d48fd7d9bb27f87a01130535f64d2507476f70f1a01a19bc,0471516851a9f1ef875d4bfd826c70b57813a74ceb42ad230df578e654c6e0c6,46cecb577e1256b624e483d5e505062bee0bb0aa4445a4045552c35fff2a063d,,0,0,1.3745514999973238,111,154,89,0.564935064935065,0.39325842696629215,0.5064935064935064,0.6021487027294392,3.0,10,0.4615730337078652,5,0.5974025974025974,0.564935064935065,5.0,48.0,5.0,104.0,5.0,121.0,4.5,152.0,0.8278848098781413,2.8089887640449436,1.9794210360734383,0.564935064935065,
