run_id,optimizer_seed,generation,best_paper_fitness,best_conflict_pairs,best_conflict_points,mean_conflict_pairs,mean_conflict_points,min_conflict_points,zero_conflict_individual_count,elite_present_before_injection,elite_reinjected,elite_replacement_count_cumulative
20260913_213050_360342_A_plus_elite,0,69,706892.1083630632,16,18,30.42105263157895,42.86842105263158,18,0,False,True,65
20260913_213050_360342_A_plus_elite,0,70,706866.6006755906,13,17,33.47222222222222,49.138888888888886,17,0,True,False,65
20260913_213050_360342_A_plus_elite,0,71,706839.5930085611,19,31,34.083333333333336,46.44444444444444,21,0,False,True,66
20260913_213050_360342_A_plus_elite,0,72,706811.0201588753,14,16,34.15,47.9,16,0,False,True,67
20260913_213050_360342_A_plus_elite,0,73,706780.8150606756,18,21,30.170731707317074,43.68292682926829,20,0,False,True,68
20260913_213050_360342_A_plus_elite,0,74,658506.0762128384,13,14,33.6,48.5,14,0,True,False,68
20260913_213050_360342_A_plus_elite,0,75,658474.7316545146,16,16,37.375,51.65,16,0,False,True,69
20260913_213050_360342_A_plus_elite,0,76,427908.6930814141,9,9,30.0,44.16216216216216,9,0,True,False,69
20260913_213050_360342_A_plus_elite,0,77,427886.20496561937,14,15,31.974358974358974,44.8974358974359,15,0,False,True,70
20260913_213050_360342_A_plus_elite,0,78,427862.51779507234,16,19,34.03125,50.53125,19,0,False,True,71
20260913_213050_360342_A_plus_elite,0,79,427837.5842466986,15,15,34.42857142857143,49.57142857142857,15,0,False,True,72
20260913_213050_360342_A_plus_elite,0,80,427811.3557683553,18,20,33.76086956521739,49.869565217391305,20,0,False,True,73
20260913_213050_360342_A_plus_elite,0,81,427783.7825630737,15,36,29.833333333333332,43.416666666666664,21,0,False,True,74
20260913_213050_360342_A_plus_elite,0,82,427754.8135733021,15,16,33.0,50.51219512195122,16,0,False,True,75
20260913_213050_360342_A_plus_elite,0,83,427724.3964651484,12,12,30.195121951219512,45.73170731707317,12,0,False,True,76
20260913_213050_360342_A_plus_elite,0,84,427692.47761262325,18,21,33.43589743589744,53.64102564102564,19,0,False,True,77
20260913_213050_360342_A_plus_elite,0,85,427659.0020818819,15,16,30.5,45.875,16,0,False,True,78
20260913_213050_360342_A_plus_elite,0,86,427623.9136154678,16,18,31.0,45.86486486486486,18,0,False,True,79
20260913_213050_360342_A_plus_elite,0,87,427587.15461655485,14,17,32.19444444444444,49.166666666666664,17,0,False,True,80
20260913_213050_360342_A_plus_elite,0,88,427548.66613319016,16,18,35.095238095238095,51.19047619047619,18,0,False,True,81
20260913_213050_360342_A_plus_elite,0,89,427508.38784253673,19,20,30.91891891891892,46.2972972972973,20,0,False,True,82
20260913_213050_360342_A_plus_elite,0,90,427466.2580351165,16,19,32.432432432432435,45.2972972972973,18,0,False,True,83
20260913_213050_360342_A_plus_elite,0,91,427422.21359905245,11,11,34.303030303030305,50.84848484848485,11,0,False,True,84
20260913_213050_360342_A_plus_elite,0,92,427376.1900043121,21,23,41.225,60.025,23,0,False,True,85
20260913_213050_360342_A_plus_elite,0,93,427328.12128694914,14,14,33.36666666666667,50.06666666666667,14,0,False,True,86
20260913_213050_360342_A_plus_elite,0,94,427277.94003334746,12,13,33.38235294117647,51.23529411764706,13,0,False,True,87
20260913_213050_360342_A_plus_elite,0,95,427225.5773644629,18,19,32.0,41.5,19,0,False,True,88
20260913_213050_360342_A_plus_elite,0,96,427170.96292006614,19,20,32.513513513513516,45.027027027027025,20,0,False,True,89
20260913_213050_360342_A_plus_elite,0,97,427114.02484298556,18,22,33.567567567567565,48.810810810810814,22,0,False,True,90
20260913_213050_360342_A_plus_elite,0,98,427054.6897633501,15,17,30.862068965517242,44.48275862068966,17,0,False,True,91
20260913_213050_360342_A_plus_elite,0,99,426992.8827828316,16,17,38.32258064516129,61.806451612903224,17,0,False,True,92
20260913_213050_360342_A_plus_elite,0,100,426928.5274588879,18,24,36.857142857142854,56.885714285714286,21,0,False,True,93
20260913_213050_360342_A_plus_elite,0,101,426861.54578900506,15,17,32.69230769230769,49.02564102564103,17,0,False,True,94
20260913_213050_360342_A_plus_elite,0,102,426791.85819494055,16,20,31.0,43.21951219512195,18,0,False,True,95
20260913_213050_360342_A_plus_elite,0,103,426719.3835069658,12,18,26.926829268292682,38.58536585365854,15,0,False,True,96
