run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,1,38,24.0,4,4,4,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,2,3,21.0,4,4,4,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,3,31,16.0,3,5,5,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,4,54,16.0,3,26,26,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,5,85,16.0,3,26,26,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,6,51,14.0,3,3,3,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,7,53,12.0,3,5,5,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,8,77,10.0,3,3,3,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,9,83,9.0,2,2,2,47
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,42,10,95,9.0,4,4,4,47
