run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,6,33.0,4,6,6,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,2,67,32.0,5,26,26,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,3,91,32.0,5,8,8,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,4,71,27.0,4,9,9,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,5,3,22.0,3,3,3,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,6,83,22.0,3,19,19,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,7,40,21.0,4,4,4,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,8,19,20.0,3,12,12,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,9,44,20.0,3,3,3,79
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,10,50,20.0,3,4,4,79
