run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,0,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,1,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,2,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,3,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,4,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,5,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,6,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,7,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,8,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,32,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,46,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,0,55,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,1,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,5,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,8,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,9,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,10,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,11,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,12,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,13,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,14,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,16,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,17,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,18,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,19,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,20,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,21,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,22,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,23,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,24,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,25,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,27,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,28,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,29,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,30,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,31,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,32,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,33,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,34,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,36,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,37,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,158,1,38,0,1
