key_ratio,K,key_conflict_coverage,success_rate_zero_conflict,remaining_conflicts_mean,remaining_conflicts_std,delayed_flights_mean,delayed_flights_std,runtime_mean,runtime_std,final_fitness_mean,final_fitness_std,risk_increase_mean,risk_increase_std
0.03,3,0.14018691588785046,0.0,24.333333333333332,1.8856180831641267,23.333333333333332,5.436502143433364,52.98323919999772,3.4551140467043844,1051679.9613481215,81964.41604002877,2.1713530509767955,0.6628336151324096
0.04,4,0.40186915887850466,0.0,14.0,7.2571803523590805,20.333333333333332,3.39934634239519,51.50854636666676,3.9479607396539556,605473.564695941,313550.00625703373,1.6603332526737618,0.9034463927841332
0.05,5,0.42990654205607476,0.0,12.333333333333334,1.247219128924647,20.666666666666668,2.3570226039551585,53.22563243333085,1.8730352738668279,526322.0559847552,51508.42889778409,0.22649795600969092,0.3391800189680104
0.06,6,0.4766355140186916,0.0,14.333333333333334,3.39934634239519,20.666666666666668,2.494438257849294,53.58607253333321,2.8411430304667826,612620.3154531176,144273.03940262055,0.9921886702797833,0.8229666001100584
0.07,7,0.5046728971962616,0.0,12.666666666666666,2.0548046676563256,18.333333333333332,0.9428090415820634,52.42932279999999,1.0629290991327454,541363.0305820523,87212.98062734005,0.5258519517003323,0.38261721085663347
0.08,8,0.514018691588785,0.0,16.666666666666668,1.247219128924647,20.0,1.632993161855452,51.76940283333291,3.1234474362148426,713932.1518553611,54204.130303596954,0.6532548442425908,0.5130643411335056
0.09,9,0.5233644859813084,0.0,11.333333333333334,3.681787005729087,21.0,1.4142135623730951,54.66944486667004,0.8584245186126033,483712.71443378594,155428.91633244432,0.2635841434137841,0.2174397723771996
0.1,10,0.5233644859813084,0.0,7.333333333333333,1.247219128924647,23.0,2.160246899469287,58.55405496666693,1.002396856653925,315419.1784375419,52098.71038724564,0.5596128810067689,0.47306095576388224
0.11,11,0.5327102803738317,0.0,8.0,1.632993161855452,26.333333333333332,3.0912061651652345,58.21888646666533,1.1411233171089796,347188.11420843314,71038.56176738783,-0.01965058212369493,0.03200322811013202
0.12,12,0.5700934579439252,0.0,9.666666666666666,1.247219128924647,21.333333333333332,2.494438257849294,57.881239933332836,0.41808950966396474,416575.13693506434,54385.93575960981,0.5277364067821063,0.2879139438954854
