action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
speed,59,51,50,58,54,True,False,8.20060000023659,pairs_decreased,4,0,2,stage2_independent_matching,0,0,2-59,4,cluster,speed,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.65,0.1,0,0,2,59,speed,59,58,54,51,50
speed,54,50,49,54,52,True,False,7.766499999888765,pairs_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.8,0.075,1,0,27,54,speed,54,54,52,50,49
speed,37,49,48,52,50,True,False,7.790399999976216,pairs_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,0.0625,0.9,0.0375,2,0,37,76,speed,37,52,50,49,48
speed,78,48,47,50,48,True,False,7.608800000070914,pairs_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,speed,0,0.25,0.65,0.1,ADM_ref6_independent_matching,0.125,0.825,0.05,3,0,42,78,speed,78,50,48,48,47
cruise_level,55,47,46,48,46,True,False,8.132200000090961,pairs_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,48,46,47,46
delay,0,46,47,46,49,False,True,7.711300000210031,rollback,1,2,1,stage2_independent_matching,5,0,0-63,1,head_to_head,delay,0,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,0,63,delay,0,46,49,46,47
delay,0,46,47,46,47,False,True,7.587900000089576,rollback,1,1,1,stage2_independent_matching,5,0,0-63,1,head_to_head,delay,1,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,0,63,delay,0,46,47,46,47
delay,63,46,47,46,48,False,True,7.544200000211276,rollback,1,2,1,stage2_independent_matching,5,0,0-63,1,head_to_head,delay,2,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,0,63,delay,63,46,48,46,47
delay,63,46,44,46,44,True,False,8.046099999774015,pairs_decreased,1,0,1,stage2_independent_matching,5,0,0-63,1,head_to_head,delay,3,0.075,0.075,0.85,ADM_ref6_independent_matching,0.5375,0.0375,0.425,5,0,0,63,delay,63,46,44,46,44
cruise_level,3,44,44,44,44,False,True,10.053399999833346,rollback,1,0,1,stage2_independent_matching,6,0,3-65,1,head_to_head,reroute,0,0.5375,0.0375,0.425,ADM_ref6_independent_matching,,,,6,0,3,65,reroute,3,44,44,44,44
cruise_level,3,44,43,44,43,True,False,20.202400000016496,pairs_decreased,1,0,0,stage2_independent_matching,6,0,3-65,1,head_to_head,reroute,1,0.5375,0.0375,0.425,ADM_ref6_independent_matching,0.26875,0.01875,0.7125,6,0,3,65,reroute,3,44,43,44,43
speed,6,43,43,43,43,False,True,7.728099999894766,rollback,1,0,1,stage2_independent_matching,7,0,6-11,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,,,,7,0,6,11,speed,6,43,43,43,43
speed,6,43,43,43,43,False,True,7.9531999999744585,rollback,1,0,1,stage2_independent_matching,7,0,6-11,1,crossing,speed,1,0.0625,0.9,0.0375,ADM_ref6_independent_matching,,,,7,0,6,11,speed,6,43,43,43,43
speed,6,43,43,43,43,False,True,7.703799999944749,rollback,1,1,0,stage2_independent_matching,7,0,6-11,1,crossing,speed,2,0.0625,0.9,0.0375,ADM_ref6_independent_matching,,,,7,0,6,11,speed,6,43,43,43,43
speed,11,43,42,43,42,True,False,7.956899999953748,pairs_decreased,1,0,0,stage2_independent_matching,7,0,6-11,1,crossing,speed,3,0.0625,0.9,0.0375,ADM_ref6_independent_matching,0.03125,0.95,0.01875,7,0,6,11,speed,11,43,42,43,42
delay,6,42,43,42,43,False,True,7.536399999935384,rollback,1,1,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,0,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,43,42,43
delay,6,42,43,42,43,False,True,7.633199999872886,rollback,1,1,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,1,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,43,42,43
delay,63,42,45,42,45,False,True,7.7028999999129155,rollback,1,1,3,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,2,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,63,42,45,42,45
delay,6,42,43,42,47,False,True,8.314199999858829,rollback,1,0,2,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,3,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,47,42,43
delay,6,42,43,42,44,False,True,7.558600000265869,rollback,1,0,2,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,4,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,44,42,43
delay,6,42,44,42,47,False,True,7.943199999772332,rollback,1,0,3,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,5,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,47,42,44
delay,6,42,42,42,43,False,True,7.823100000223349,rollback,1,0,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,6,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,43,42,42
delay,6,42,42,42,43,False,True,7.729099999778555,rollback,1,0,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,7,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,43,42,42
delay,6,42,43,42,43,False,True,7.496100000025763,rollback,1,1,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,8,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,43,42,43
delay,6,42,43,42,43,False,True,7.501100000354199,rollback,1,1,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,9,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,43,42,43
delay,6,42,44,42,44,False,True,7.398799999918992,rollback,1,0,3,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,10,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,44,42,44
delay,6,42,44,42,44,False,True,7.817199999863078,rollback,1,0,3,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,11,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,44,42,44
delay,6,42,44,42,44,False,True,8.065299999998388,rollback,1,0,3,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,12,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,44,42,44
delay,6,42,42,42,42,False,True,12.214500000027328,rollback,1,0,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,13,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,42,42,42
delay,6,42,43,42,45,False,True,19.33199999984936,rollback,1,0,2,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,14,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,45,42,43
delay,6,42,44,42,47,False,True,8.078299999851879,rollback,1,0,3,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,15,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,47,42,44
delay,6,42,45,42,47,False,True,7.486299999982293,rollback,1,0,4,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,16,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,47,42,45
delay,6,42,42,42,42,False,True,7.488400000056572,rollback,1,0,1,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,17,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,42,42,42
delay,6,42,45,42,51,False,True,7.448800000020128,rollback,1,0,4,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,18,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,6,42,51,42,45
delay,63,42,44,42,44,False,True,7.6213999996070925,rollback,1,1,2,stage2_independent_matching,8,0,6-63,1,head_to_head,delay,19,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,delay,63,42,44,42,44
cruise_level,6,42,42,42,42,False,True,8.066400000188878,rollback,1,0,1,stage2_independent_matching,8,0,6-63,1,head_to_head,reroute,0,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,,,,8,0,6,63,reroute,6,42,42,42,42
cruise_level,6,42,41,42,41,True,False,7.540699999935896,pairs_decreased,1,0,0,stage2_independent_matching,8,0,6-63,1,head_to_head,reroute,1,0.26875,0.01875,0.7125,ADM_ref6_independent_matching,0.134375,0.009375,0.85625,8,0,6,63,reroute,6,42,41,42,41
