action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
speed,9,41,41,47,47,False,True,8.252099999936036,rollback,1.0,1.0,0.0,stage2_independent_matching,4,0,9-12,1,crossing,speed,6,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,speed,9,47,47,41,41,,,
speed,12,41,43,47,49,False,True,7.9582999997001025,rollback,1.0,1.0,2.0,stage2_independent_matching,4,0,9-12,1,crossing,speed,7,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,speed,12,47,49,41,43,,,
speed,12,41,43,47,49,False,True,10.05299999997078,rollback,1.0,1.0,2.0,stage2_independent_matching,4,0,9-12,1,crossing,speed,8,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,speed,12,47,49,41,43,,,
speed,12,41,42,47,48,False,True,21.326399999907153,rollback,1.0,1.0,1.0,stage2_independent_matching,4,0,9-12,1,crossing,speed,9,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,speed,12,47,48,41,42,,,
delay,9,41,41,47,47,False,True,7.492799999909039,rollback,1.0,0.0,1.0,stage2_independent_matching,4,0,9-12,1,crossing,delay,0,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,delay,9,47,47,41,41,,,
delay,12,41,43,47,49,False,True,7.505800000217278,rollback,1.0,0.0,3.0,stage2_independent_matching,4,0,9-12,1,crossing,delay,1,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,delay,12,47,49,41,43,,,
delay,9,41,40,47,46,True,False,7.51799999989089,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,4,0,9-12,1,crossing,delay,2,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,delay,9,47,46,41,40,0.5625,0.4,0.0375
speed,35,40,39,46,46,True,False,7.705999999870983,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,5,0,32-35,1,crossing,speed,0,0.5625,0.4,0.0375,ADM_ref6_independent_matching,5,0,32,35,speed,35,46,46,40,39,0.28125,0.7,0.01875
cruise_level,35,39,38,46,44,True,False,8.578599999964354,pairs_decreased,2.0,0.0,0.0,stage2_independent_matching,6,0,35-67,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,6,0,35,67,reroute,35,46,44,39,38,0.0375,0.0375,0.925
speed,45,38,37,44,43,True,False,8.377399999972113,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,7,0,13-45,1,cluster,speed,0,0.875,0.075,0.05,ADM_ref6_independent_matching,7,0,13,45,speed,45,44,43,38,37,0.4375,0.5375,0.025
speed,59,37,39,43,45,False,True,7.9622999996900035,rollback,1.0,0.0,3.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,0,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,59,43,45,37,39,,,
speed,59,37,38,43,44,False,True,8.10479999972813,rollback,1.0,0.0,2.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,1,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,59,43,44,37,38,,,
speed,59,37,38,43,44,False,True,7.804100000157632,rollback,1.0,0.0,2.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,2,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,59,43,44,37,38,,,
speed,13,37,38,43,47,False,True,7.9052999999476015,rollback,1.0,0.0,2.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,3,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,13,43,47,37,38,,,
speed,13,37,37,43,45,False,True,7.9814999999143765,rollback,1.0,0.0,1.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,4,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,13,43,45,37,37,,,
speed,59,37,37,43,45,False,True,8.268900000075519,rollback,1.0,1.0,1.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,5,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,59,43,45,37,37,,,
speed,59,37,36,43,42,True,False,7.761700000173732,pairs_decreased,1.0,1.0,0.0,stage2_independent_matching,8,0,13-59,1,crossing,speed,6,0.28125,0.7,0.01875,ADM_ref6_independent_matching,8,0,13,59,speed,59,43,42,37,36,0.140625,0.85,0.009375
speed,59,36,38,42,44,False,True,8.474599999772181,rollback,1.0,0.0,3.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,0,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,42,44,36,38,,,
speed,59,36,38,42,44,False,True,8.144200000060664,rollback,1.0,0.0,3.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,1,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,42,44,36,38,,,
speed,59,36,37,42,43,False,True,8.046500000091328,rollback,1.0,1.0,1.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,2,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,42,43,36,37,,,
speed,13,36,37,42,46,False,True,9.980799999993906,rollback,1.0,0.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,3,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,42,46,36,37,,,
speed,13,36,37,42,45,False,True,19.67479999984789,rollback,1.0,1.0,1.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,4,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,42,45,36,37,,,
speed,59,36,36,42,49,False,True,7.820600000286504,rollback,1.0,0.0,1.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,5,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,42,49,36,36,,,
speed,59,36,37,42,45,False,True,8.027899999888177,rollback,1.0,1.0,1.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,6,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,42,45,36,37,,,
speed,13,36,37,42,43,False,True,7.632700000158366,rollback,1.0,0.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,7,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,42,43,36,37,,,
speed,13,36,38,42,44,False,True,7.6878999998371,rollback,1.0,1.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,8,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,42,44,36,38,,,
speed,13,36,36,42,42,False,True,7.60679999984859,rollback,1.0,1.0,0.0,stage2_independent_matching,9,0,13-59,1,crossing,speed,9,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,42,42,36,36,,,
delay,13,36,37,42,43,False,True,7.530900000347174,rollback,1.0,0.0,2.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,0,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,42,43,36,37,,,
delay,59,36,38,42,44,False,True,7.327799999984563,rollback,1.0,0.0,3.0,stage2_independent_matching,9,0,13-59,1,crossing,delay,1,0.140625,0.85,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,42,44,36,38,,,
