flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,4,24.0,10,True
1,1,0.0,1,False
2,4,21.0,4,True
3,3,0.0,3,False
4,2,6.0,3,False
5,4,21.0,4,True
6,2,8.0,2,False
7,1,0.0,35,False
8,2,4.0,2,False
9,0,0.0,0,False
10,1,0.0,35,False
11,2,5.0,4,False
12,2,7.0,2,False
13,2,8.0,3,False
14,2,2.0,2,False
15,1,0.0,2,False
16,2,1.0,2,False
17,2,2.0,2,False
18,3,2.0,3,False
19,2,5.0,2,False
20,1,0.0,1,False
21,1,0.0,1,False
22,4,0.0,5,False
23,1,0.0,1,False
24,1,0.0,1,False
25,1,0.0,1,False
26,1,0.0,1,False
27,1,0.0,1,False
28,0,0.0,0,False
29,1,0.0,1,False
30,0,0.0,0,False
31,3,8.0,3,False
32,0,0.0,0,False
33,2,2.0,2,False
34,1,0.0,1,False
35,2,7.0,2,False
36,2,2.0,2,False
37,1,0.0,1,False
38,2,0.0,2,False
39,3,8.0,3,False
40,0,0.0,0,False
41,3,12.0,4,True
42,3,0.0,4,False
43,2,4.0,4,False
44,3,10.0,6,False
45,1,0.0,1,False
46,0,0.0,0,False
47,1,0.0,1,False
48,0,0.0,0,False
49,1,0.0,1,False
50,1,0.0,2,False
51,2,2.0,2,False
52,1,0.0,1,False
53,1,0.0,1,False
54,4,18.0,5,True
55,2,5.0,3,False
56,1,0.0,1,False
57,3,2.0,16,False
58,3,10.0,7,False
59,5,40.0,5,True
60,0,0.0,0,False
61,0,0.0,0,False
62,1,0.0,1,False
63,1,0.0,1,False
64,2,8.0,3,False
65,2,1.0,15,False
66,1,0.0,1,False
67,1,0.0,1,False
68,2,0.0,2,False
69,2,0.0,2,False
70,2,1.0,2,False
71,0,0.0,0,False
72,3,16.0,4,True
73,3,24.0,3,True
74,0,0.0,0,False
75,0,0.0,0,False
76,1,0.0,2,False
77,1,0.0,1,False
78,1,0.0,1,False
79,2,9.0,2,False
80,0,0.0,0,False
81,3,14.0,3,True
82,0,0.0,0,False
83,2,2.0,2,False
84,1,0.0,1,False
85,3,12.0,9,False
86,1,0.0,1,False
87,0,0.0,0,False
88,0,0.0,0,False
89,1,0.0,2,False
90,1,0.0,2,False
91,2,2.0,3,False
92,0,0.0,0,False
93,1,0.0,1,False
94,0,0.0,0,False
95,1,0.0,1,False
96,2,3.0,2,False
97,1,0.0,1,False
98,3,18.0,5,True
99,2,0.0,2,False
