flight_id,degree,degree_centrality,closeness,betweenness,pagerank,collective_influence
99,6,0.06060606060606061,0.2298679098679099,0.1794600747290914,0.020882876709597254,135.0
64,5,0.05050505050505051,0.22434555767889103,0.11380328597397246,0.01681340600930702,132.0
62,5,0.05050505050505051,0.22234247234247234,0.09247791993617595,0.015514219776737186,128.0
57,5,0.05050505050505051,0.2312912405791663,0.1474448076488893,0.015885463104132625,124.0
83,5,0.05050505050505051,0.21908231878906367,0.06192586702790787,0.016804625398620758,116.0
41,6,0.06060606060606061,0.20082545888997502,0.08276162098054493,0.018937136392229326,115.0
51,5,0.05050505050505051,0.2312912405791663,0.1351911642264147,0.015386701062241452,112.0
45,5,0.05050505050505051,0.2178048708660954,0.11511987977665161,0.015410330100223288,100.0
19,6,0.06060606060606061,0.18310556545850665,0.14052861863622532,0.017994371663979804,90.0
53,4,0.04040404040404041,0.23345959595959595,0.15329070366176112,0.013203018134482278,84.0
66,4,0.04040404040404041,0.22037483984386644,0.1128312009573605,0.013155482467843187,84.0
27,4,0.04040404040404041,0.20694479420241194,0.09571927419793842,0.012292256579567855,81.0
49,5,0.05050505050505051,0.20136676740450327,0.07155029399927358,0.016303872408889936,80.0
4,4,0.04040404040404041,0.2041176795275156,0.05926635379325544,0.01306632229128471,75.0
31,4,0.04040404040404041,0.21223599632690543,0.05844847449671195,0.013365043498244905,69.0
32,4,0.04040404040404041,0.20467690604676908,0.04944542161610807,0.013025504393673731,69.0
69,4,0.04040404040404041,0.21591638932679394,0.05866659795231225,0.012564199956759971,69.0
16,5,0.05050505050505051,0.19354163395614174,0.03776442756034591,0.016145037022981538,64.0
65,5,0.05050505050505051,0.174549230623997,0.05415820007656742,0.018444999448328538,60.0
10,3,0.030303030303030304,0.22037483984386644,0.07643563919074121,0.010039933282159708,58.0
2,4,0.04040404040404041,0.20191100191100192,0.04846717907942398,0.014031091250838448,57.0
92,4,0.04040404040404041,0.198689017837954,0.025997094364441305,0.01347216459872051,57.0
18,4,0.04040404040404041,0.183555456282729,0.03928080611754081,0.013691541103524035,54.0
67,3,0.030303030303030304,0.20028705283396972,0.10187964993159795,0.009546063950436626,52.0
7,3,0.030303030303030304,0.18537734666766925,0.07404431272705857,0.009261049742132986,48.0
95,4,0.04040404040404041,0.19556824792426886,0.11823018594818221,0.015649775986638102,45.0
77,4,0.04040404040404041,0.18132784152201628,0.022753776835409495,0.014609241692160688,45.0
79,3,0.030303030303030304,0.21163476120983205,0.0409640623926338,0.010406007842673327,42.0
96,3,0.030303030303030304,0.20637312350019535,0.051329622758194186,0.01088020947192575,38.0
29,4,0.04040404040404041,0.16601571268237936,0.021162147136173096,0.011720074578804156,36.0
28,3,0.030303030303030304,0.19057926200783343,0.015399377644275602,0.010492345698004842,36.0
82,3,0.030303030303030304,0.19505762586702535,0.06632947551314898,0.010810517543950795,34.0
80,3,0.030303030303030304,0.19155659155659155,0.04975410077450893,0.010531381474202064,32.0
23,5,0.05050505050505051,0.15001419820696932,0.047726045685229354,0.018819388896327255,28.0
76,3,0.030303030303030304,0.18221236757822123,0.021596430780104252,0.010645074857454329,28.0
3,3,0.030303030303030304,0.1749580110235848,0.0013418931786278725,0.009797090167622835,28.0
78,4,0.04040404040404041,0.1701755596971998,0.03894361496402312,0.01484376531193429,27.0
81,4,0.04040404040404041,0.13199129100189172,0.017522160379303237,0.012719877286146802,24.0
39,4,0.04040404040404041,0.1537182524836846,0.016093526483136875,0.011798988912070511,24.0
24,3,0.030303030303030304,0.16638545814492364,0.05159466383956177,0.011571611060925283,24.0
87,3,0.030303030303030304,0.1717403924300476,0.046629070098457855,0.010835605209261917,22.0
89,3,0.030303030303030304,0.16978879706152436,0.003332646189789047,0.009741950303077156,22.0
70,4,0.04040404040404041,0.15827769217599727,0.03807756868981357,0.014334263573336396,21.0
14,4,0.04040404040404041,0.14149066421793693,0.0035312931416827524,0.011750806118119525,21.0
73,5,0.05050505050505051,0.15403519733416643,0.01962481962481962,0.014356258348097433,20.0
88,3,0.030303030303030304,0.16311587490626792,0.015492632839571613,0.011001584100669766,20.0
21,3,0.030303030303030304,0.1717403924300476,0.010831211666091066,0.010519880086065546,18.0
56,3,0.030303030303030304,0.1717403924300476,0.010831211666091066,0.010519880086065546,18.0
84,2,0.020202020202020204,0.1725336505936968,0.004781046617781313,0.007485555878927403,17.0
37,2,0.020202020202020204,0.15340260925476532,0.051329622758194186,0.0085105626832049,14.0
54,2,0.020202020202020204,0.18583848434594705,0.008603037174465747,0.007998217058795266,13.0
68,2,0.020202020202020204,0.18310556545850665,0.017522160379303237,0.00929278462420244,11.0
11,2,0.020202020202020204,0.1757813428401664,0.0038205181062323916,0.008071781073259092,11.0
20,2,0.020202020202020204,0.16750464284096572,0.005026945843272374,0.007973815342516575,11.0
61,2,0.020202020202020204,0.17373737373737375,0.01943634596695821,0.0077080649812151705,11.0
63,2,0.020202020202020204,0.1717403924300476,0.004025679535883615,0.007700955376753241,11.0
44,3,0.030303030303030304,0.13152653293498365,0.03483817769532055,0.015364167626144256,10.0
35,2,0.020202020202020204,0.16311587490626792,0.016714543616213377,0.00849339640132303,10.0
9,2,0.020202020202020204,0.16675685425685427,0.002853608976057955,0.007650100533246632,9.0
8,3,0.030303030303030304,0.15308825964563672,0.01354431317325566,0.011128977499861786,8.0
36,2,0.020202020202020204,0.16066036711198,0.017522160379303237,0.009868039459730672,8.0
1,2,0.020202020202020204,0.168638985794742,0.03463203463203463,0.009304183821633625,8.0
15,2,0.020202020202020204,0.14229918229918231,0.0,0.00808735666514858,8.0
26,2,0.020202020202020204,0.17095439521068814,0.006737442451728165,0.00797974784659196,8.0
91,2,0.020202020202020204,0.13809070370992738,0.0,0.007854815167064613,8.0
97,2,0.020202020202020204,0.152775195719981,0.0,0.007673162358969095,8.0
13,2,0.020202020202020204,0.12858359846311654,0.017522160379303237,0.00967017994936946,7.0
30,2,0.020202020202020204,0.14793479347934796,0.009300978688733788,0.008372253718834552,7.0
86,2,0.020202020202020204,0.14311699369170636,0.017522160379303237,0.009599613905167798,6.0
38,2,0.020202020202020204,0.1459122474747475,0.0,0.008252331078305267,6.0
40,2,0.020202020202020204,0.1459122474747475,0.0,0.008252331078305267,6.0
85,2,0.020202020202020204,0.14202865153435498,0.017522160379303237,0.010852504696587405,2.0
33,2,0.020202020202020204,0.020202020202020204,0.00020614306328592042,0.01567384035081027,0.0
46,1,0.010101010101010102,0.010101010101010102,0.0,0.010729613733905576,0.0
47,1,0.010101010101010102,0.010101010101010102,0.0,0.010729613733905576,0.0
22,1,0.010101010101010102,0.01346801346801347,0.0,0.00825750042545323,0.0
48,1,0.010101010101010102,0.01346801346801347,0.0,0.00825750042545323,0.0
5,1,0.010101010101010102,0.12227016482335633,0.0,0.006221529121536599,0.0
25,1,0.010101010101010102,0.11440592757591227,0.0,0.005961539227260165,0.0
43,1,0.010101010101010102,0.11440592757591227,0.0,0.005961539227260165,0.0
94,1,0.010101010101010102,0.13583103764921947,0.0,0.005803242854379665,0.0
75,1,0.010101010101010102,0.11217277883944551,0.0,0.005719276116600056,0.0
34,1,0.010101010101010102,0.12307589902318074,0.0,0.005689298388841317,0.0
74,1,0.010101010101010102,0.15153564037945377,0.0,0.0055590058572360605,0.0
55,1,0.010101010101010102,0.14562781814243803,0.0,0.004745092234997799,0.0
52,1,0.010101010101010102,0.1503160376399813,0.0,0.004713909656201083,0.0
6,1,0.010101010101010102,0.1620543833125178,0.0,0.004472276953012986,0.0
0,1,0.010101010101010102,0.17872504953844667,0.0,0.004467661175318808,0.0
17,1,0.010101010101010102,0.1753687105799782,0.0,0.004466165909851142,0.0
58,1,0.010101010101010102,0.15861373823157263,0.0,0.004354070108530904,0.0
93,1,0.010101010101010102,0.11475740507998573,0.0,0.00431237774336971,0.0
59,1,0.010101010101010102,0.1634728024224742,0.0,0.0042922224977586035,0.0
12,0,0.0,0.0,0.0,0.0016094420600858371,0.0
42,0,0.0,0.0,0.0,0.0016094420600858371,0.0
50,0,0.0,0.0,0.0,0.0016094420600858371,0.0
60,0,0.0,0.0,0.0,0.0016094420600858371,0.0
71,0,0.0,0.0,0.0,0.0016094420600858371,0.0
72,0,0.0,0.0,0.0,0.0016094420600858371,0.0
90,0,0.0,0.0,0.0,0.0016094420600858371,0.0
98,0,0.0,0.0,0.0,0.0016094420600858371,0.0
