action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,2,44,43,51,47,True,False,8.03489999998419,local_pair_points_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,reroute,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.15,0.6,0,0,2,59,reroute,2,51,47,44,43
speed,54,43,42,47,45,True,False,7.982300000094256,local_pair_points_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.8,0.075,1,0,27,54,speed,54,47,45,43,42
speed,37,42,41,45,43,True,False,7.6454999998532,local_pair_points_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,0.0625,0.9,0.0375,2,0,37,76,speed,37,45,43,42,41
cruise_level,42,41,40,43,41,True,False,8.285200000045734,local_pair_points_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,reroute,0,0.25,0.15,0.6,ADM_ref6_independent_matching,0.125,0.075,0.8,3,0,42,78,reroute,42,43,41,41,40
speed,77,40,40,41,42,False,True,7.850500000131433,local_pair_not_improved,2,3,0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,0,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,42,40,40
speed,77,40,40,41,42,False,True,8.073200000126235,local_pair_not_improved,2,3,0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,1,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,42,40,40
speed,77,40,40,41,41,False,True,7.912099999884958,local_pair_not_improved,2,2,0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,2,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,41,40,40
speed,55,40,40,41,41,False,True,10.643099999924743,local_pair_not_improved,2,2,0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,3,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,41,40,40
speed,55,40,40,41,42,False,True,19.34879999998884,local_pair_not_improved,2,3,0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,4,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,42,40,40
speed,77,40,40,41,41,False,True,7.898199999999633,local_pair_not_improved,2,2,1,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,5,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,41,40,40
speed,77,40,40,41,41,False,True,7.776599999942846,local_pair_not_improved,2,2,0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,6,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,41,40,40
speed,55,40,40,41,40,True,False,7.764700000279845,local_pair_points_decreased,2,0,1,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,7,0.15,0.15,0.7,ADM_ref6_independent_matching,0.07500000000000001,0.5750000000000001,0.35000000000000003,4,0,55,77,speed,55,41,40,40,40
cruise_level,3,40,40,40,40,True,False,8.367899999939254,local_pair_points_decreased,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.07500000000000001,0.5750000000000001,0.35000000000000003,ADM_ref6_independent_matching,0.037500000000000006,0.28750000000000003,0.675,5,0,3,65,reroute,3,40,40,40,40
speed,3,40,39,40,39,True,False,8.008999999674415,local_pair_points_decreased,1,0,0,stage2_independent_matching,6,0,3-79,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,0.03125,0.95,0.01875,6,0,3,79,speed,3,40,39,40,39
speed,6,39,38,39,38,True,False,7.727100000010978,local_pair_points_decreased,1,0,0,stage2_independent_matching,7,0,6-11,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,0.015625,0.975,0.009375,7,0,6,11,speed,6,39,38,39,38
speed,8,38,38,38,38,False,True,7.76529999984632,local_pair_not_improved,1,1,0,stage2_independent_matching,8,0,8-37,1,crossing,speed,0,0.015625,0.975,0.009375,ADM_ref6_independent_matching,,,,8,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.663300000331219,local_pair_not_improved,1,1,0,stage2_independent_matching,8,0,8-37,1,crossing,speed,1,0.015625,0.975,0.009375,ADM_ref6_independent_matching,,,,8,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.9622999996900035,local_pair_not_improved,1,1,0,stage2_independent_matching,8,0,8-37,1,crossing,speed,2,0.015625,0.975,0.009375,ADM_ref6_independent_matching,,,,8,0,8,37,speed,8,38,38,38,38
speed,37,38,39,38,40,True,False,7.773600000291481,local_pair_points_decreased,1,0,2,stage2_independent_matching,8,0,8-37,1,crossing,speed,3,0.015625,0.975,0.009375,ADM_ref6_independent_matching,0.0078125,0.9875,0.0046875,8,0,8,37,speed,37,38,40,38,39
speed,37,39,38,40,38,True,False,7.858800000121846,local_pair_points_decreased,2,0,1,stage2_independent_matching,9,0,37-76,2,crossing,speed,0,0.0078125,0.9875,0.0046875,ADM_ref6_independent_matching,0.00390625,0.99375,0.00234375,9,0,37,76,speed,37,40,38,39,38
speed,8,38,38,38,38,False,True,7.589599999846541,local_pair_not_improved,1,1,0,stage2_independent_matching,10,0,8-37,1,crossing,speed,0,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.8313999997590145,local_pair_not_improved,1,1,0,stage2_independent_matching,10,0,8-37,1,crossing,speed,1,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.6226999999562395,local_pair_not_improved,1,1,0,stage2_independent_matching,10,0,8-37,1,crossing,speed,2,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,8,38,38,38,38
speed,37,38,39,38,39,False,True,8.280800000193267,local_pair_not_improved,1,1,1,stage2_independent_matching,10,0,8-37,1,crossing,speed,3,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,37,38,39,38,39
speed,37,38,38,38,38,False,True,8.21910000013304,local_pair_not_improved,1,1,0,stage2_independent_matching,10,0,8-37,1,crossing,speed,4,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,37,38,38,38,38
speed,8,38,38,38,38,False,True,13.038900000083231,local_pair_not_improved,1,1,0,stage2_independent_matching,10,0,8-37,1,crossing,speed,5,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,19.508399999722315,local_pair_not_improved,1,1,0,stage2_independent_matching,10,0,8-37,1,crossing,speed,6,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,8,38,38,38,38
speed,37,38,38,38,39,False,True,7.950499999878957,local_pair_not_improved,1,1,1,stage2_independent_matching,10,0,8-37,1,crossing,speed,7,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,8,37,speed,37,38,39,38,38
