flight_id,CI_rank,strategy,ATD,changed_segments,rerouted,fitness
3,10,speed,1100.773882773892,45,False,0.6947645371368858
4,6,schedule,1.0034520948912233,0,False,0.6947645371368858
16,7,schedule,14.806801710531753,0,False,0.6947645371368858
18,3,schedule,24.290235989262417,0,False,0.6947645371368858
41,1,schedule,9.259821028284003,0,False,0.6947645371368858
49,9,schedule,90.80329440079761,0,False,0.6947645371368858
62,2,schedule,42.73976603911617,0,False,0.6947645371368858
64,4,schedule,28.899891070140065,0,False,0.6947645371368858
80,8,speed,1097.1679215620916,44,False,0.6947645371368858
83,5,schedule,937.0289724219175,0,False,0.6947645371368858
