run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,1,22,18.0,3,3,3,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,2,69,16.0,5,5,5,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,3,54,15.0,4,5,5,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,4,66,14.0,3,3,3,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,5,9,12.0,4,4,4,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,6,59,12.0,3,3,3,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,7,64,12.0,4,5,5,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,8,3,10.0,3,4,4,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,9,16,10.0,3,14,14,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,257,10,10,8.0,3,4,4,46
