run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,1,23,54.0,7,13,13,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,2,35,36.0,4,4,4,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,3,88,27.0,4,8,8,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,4,72,24.0,3,3,3,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,5,85,21.0,4,4,4,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,6,49,20.0,5,7,7,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,7,40,18.0,3,3,3,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,8,80,16.0,3,3,3,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,9,38,12.0,2,3,3,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,10,51,12.0,3,3,3,38
