run_id,ci_l,top10_flight_ids,top10_point_coverage,top10_pair_coverage,remaining_edges_after_top10_removal,lcc_ratio_after_top10_removal
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,"[23, 35, 85, 88, 49, 80, 8, 26, 5, 72]",0.3904761904761905,0.3815789473684211,47,0.08
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,"[23, 35, 88, 72, 85, 49, 40, 80, 38, 51]",0.3619047619047619,0.3684210526315789,48,0.08
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,"[40, 72, 35, 85, 51, 23, 88, 77, 80, 4]",0.3142857142857143,0.32894736842105265,51,0.09
