flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,2,13.0,2,False
1,1,0.0,3,False
2,5,88.0,5,True
3,4,21.0,5,False
4,3,12.0,5,False
5,2,18.0,2,False
6,2,9.0,3,False
7,2,3.0,4,False
8,4,81.0,6,True
9,3,20.0,3,False
10,0,0.0,0,False
11,2,9.0,2,False
12,3,18.0,3,False
13,2,9.0,12,False
14,7,96.0,12,True
15,0,0.0,0,False
16,3,16.0,5,False
17,2,8.0,2,False
18,3,28.0,4,False
19,7,144.0,14,True
20,1,0.0,3,False
21,0,0.0,0,False
22,3,40.0,4,False
23,3,32.0,33,False
24,0,0.0,0,False
25,3,20.0,3,False
26,3,36.0,30,False
27,1,0.0,3,False
28,2,4.0,4,False
29,1,0.0,2,False
30,3,34.0,17,False
31,1,0.0,1,False
32,1,0.0,1,False
33,0,0.0,0,False
34,4,54.0,4,True
35,1,0.0,1,False
36,1,0.0,1,False
37,2,21.0,3,False
38,1,0.0,1,False
39,5,24.0,6,False
40,6,50.0,9,False
41,1,0.0,2,False
42,0,0.0,0,False
43,0,0.0,0,False
44,2,4.0,3,False
45,3,20.0,3,False
46,2,15.0,2,False
47,5,36.0,6,False
48,0,0.0,0,False
49,1,0.0,1,False
50,2,8.0,2,False
51,2,13.0,2,False
52,5,48.0,5,False
53,0,0.0,0,False
54,2,19.0,2,False
55,4,42.0,5,False
56,1,0.0,1,False
57,3,16.0,9,False
58,4,69.0,7,True
59,4,24.0,5,False
60,1,0.0,3,False
61,5,92.0,6,True
62,1,0.0,3,False
63,2,11.0,3,False
64,1,0.0,1,False
65,1,0.0,1,False
66,4,33.0,5,False
67,4,33.0,7,False
68,1,0.0,1,False
69,2,22.0,4,False
70,1,0.0,1,False
71,2,2.0,3,False
72,0,0.0,0,False
73,2,0.0,4,False
74,4,42.0,5,False
75,2,7.0,2,False
76,0,0.0,0,False
77,3,44.0,5,False
78,1,0.0,1,False
79,2,7.0,2,False
80,1,0.0,1,False
81,0,0.0,0,False
82,3,40.0,3,False
83,2,8.0,2,False
84,2,9.0,12,False
85,1,0.0,2,False
86,5,48.0,5,False
87,1,0.0,3,False
88,1,0.0,2,False
89,4,36.0,7,False
90,5,64.0,5,True
91,2,8.0,3,False
92,3,28.0,5,False
93,2,11.0,2,False
94,1,0.0,3,False
95,4,54.0,6,True
96,1,0.0,1,False
97,4,51.0,17,True
98,3,42.0,3,False
99,0,0.0,0,False
