generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,27,34,1613680.8294132408,30.333333333333332,42.333333333333336,27,34,3,0,0,0,0,0,0,14,4,13,16,38
2,50,7,43,0.14,26,32,1510462.2676826743,32.1,46.2,26,32,7,0,0,0,0,0,43,9,1,16,22,43
3,50,11,39,0.22,27,31,1447923.1240694362,35.05263157894737,51.78947368421053,26,32,10,1,0,0,1,0,38,12,2,14,17,40
4,50,6,44,0.12,27,31,1447923.1237175716,35.375,51.0,26,32,6,2,0,0,2,0,42,12,2,14,17,40
5,50,10,40,0.2,27,31,1447923.1227710065,34.774193548387096,51.54838709677419,26,32,10,2,1,0,3,0,37,12,2,14,17,40
6,50,7,43,0.14,27,31,1447923.1206755876,33.588235294117645,49.5,23,34,7,4,0,0,4,0,39,12,2,14,17,40
7,50,4,46,0.08,27,31,1447923.1166068437,33.17142857142857,49.371428571428574,23,34,4,4,0,0,4,0,42,12,2,14,17,40
8,50,4,46,0.08,27,31,1447923.109415921,33.21052631578947,48.36842105263158,23,34,4,5,0,0,5,0,41,12,2,14,17,40
9,50,5,45,0.1,27,31,1447923.0975755202,32.92307692307692,47.56410256410256,23,34,5,5,0,0,5,0,40,12,2,14,17,40
10,50,7,43,0.14,25,28,1338028.1384659705,33.13953488372093,48.74418604651163,23,34,7,8,0,0,8,0,35,13,3,11,12,39
11,50,3,47,0.06,21,21,1003220.5749260859,33.4,48.86666666666667,21,21,3,3,0,0,3,0,44,8,0,13,13,44
12,50,9,41,0.18,21,21,1003220.5475918495,33.0,50.625,21,21,9,6,1,0,7,0,34,8,0,13,13,44
13,50,7,43,0.14,21,21,1003220.5094585639,32.5,50.145833333333336,21,21,7,9,0,0,9,0,34,8,0,13,13,44
14,50,7,43,0.14,21,21,1003220.4576022654,31.520833333333332,48.270833333333336,21,21,7,9,0,0,9,0,34,8,0,13,13,44
15,50,8,42,0.16,21,21,1003220.3886132198,30.1875,47.291666666666664,21,21,8,11,0,0,11,0,31,8,0,13,13,44
16,50,7,43,0.14,21,21,1003220.298558555,29.25,45.229166666666664,21,21,7,10,1,0,11,0,32,8,0,13,13,44
17,50,8,42,0.16,21,21,1003220.1829448956,28.92,45.04,21,21,8,17,0,0,17,0,25,8,0,13,13,44
18,50,1,49,0.02,21,21,1003220.036680994,28.9,45.4,21,21,1,17,0,0,17,0,32,8,0,13,13,44
19,50,3,47,0.06,21,21,1003219.8540403651,28.78,45.54,21,21,3,16,0,0,16,0,31,8,0,13,13,44
20,50,8,42,0.16,21,21,1003219.6286239183,28.28,43.72,20,24,8,18,1,0,19,0,23,8,0,13,13,44
21,50,3,47,0.06,21,21,1003219.3533225913,28.14,43.44,20,24,3,12,1,0,13,0,34,8,0,13,13,44
22,50,4,46,0.08,21,21,1003219.0202799822,27.8,42.78,20,24,4,21,0,0,21,0,25,8,0,13,13,44
23,50,3,47,0.06,21,21,1003218.6208549839,27.44,42.8,17,23,3,23,0,0,23,0,24,8,0,13,13,44
24,50,7,43,0.14,21,21,1003218.1455844155,27.06,41.66,17,23,7,15,1,0,16,0,27,8,0,13,13,44
25,50,7,43,0.14,21,21,1003217.5841456569,26.52,41.26,17,23,7,24,1,0,25,0,18,8,0,13,13,44
26,50,1,49,0.02,21,21,1003216.9253192806,26.28,40.86,17,23,1,24,2,0,26,0,23,8,0,13,13,44
27,50,2,48,0.04,21,21,1003216.1569516859,26.24,40.0,17,23,2,20,0,0,20,0,28,8,0,13,13,44
28,50,6,44,0.12,21,21,1003215.2659177309,25.82,40.24,17,23,6,27,0,0,27,0,17,8,0,13,13,44
29,50,3,47,0.06,21,21,1003214.2380833663,25.72,38.9,17,23,3,34,0,0,34,0,13,8,0,13,13,44
30,50,4,46,0.08,21,21,1003213.0582682678,25.38,38.54,17,23,4,34,1,0,35,0,11,8,0,13,13,44
31,50,4,46,0.08,15,16,762943.5118723833,25.04,37.98,15,16,4,23,1,0,24,0,22,10,1,5,5,42
32,50,2,48,0.04,15,16,762942.3478827771,24.92,37.78,15,16,2,27,0,0,27,0,21,10,1,5,5,42
33,50,6,44,0.12,15,16,762941.0289365898,24.74,36.04,15,16,6,29,0,0,29,0,15,10,1,5,5,42
34,50,4,46,0.08,15,16,762939.540052889,24.52,36.42,15,16,4,33,1,0,34,0,12,10,1,5,5,42
35,50,4,46,0.08,15,16,762937.8653148774,24.26,36.7,15,16,4,31,1,0,32,0,14,10,1,5,5,42
36,50,3,47,0.06,15,16,762935.9878415327,24.14,37.04,15,16,3,31,0,0,31,0,16,10,1,5,5,42
37,50,2,48,0.04,15,16,762933.8897592485,23.94,36.52,15,16,2,37,2,0,39,0,9,10,1,5,5,42
38,50,3,47,0.06,15,16,762931.5521734749,23.86,36.32,15,16,3,36,0,0,36,0,11,10,1,5,5,42
39,50,2,48,0.04,15,16,762928.9551403582,23.72,36.06,15,16,2,35,0,0,35,0,13,10,1,5,5,42
40,50,3,47,0.06,15,16,762926.0776383817,23.66,35.8,15,16,3,32,2,0,34,0,13,10,1,5,5,42
41,50,2,48,0.04,15,16,762922.8975400071,23.66,35.56,15,16,2,31,1,0,32,0,16,10,1,5,5,42
42,50,0,50,0.0,15,16,762919.3915833131,23.66,35.56,15,16,0,35,0,0,35,0,15,10,1,5,5,42
43,50,5,45,0.1,15,16,762915.5353436373,23.42,35.56,15,16,5,31,2,0,33,0,12,10,1,5,5,42
44,50,2,48,0.04,15,16,762911.3032052164,23.38,35.5,15,16,2,34,2,0,36,0,12,10,1,5,5,42
45,50,2,48,0.04,15,16,762906.6683328261,23.26,35.18,15,16,2,33,1,0,34,0,14,10,1,5,5,42
46,50,1,49,0.02,15,16,762901.6026434217,23.22,35.58,15,16,1,36,0,0,36,0,13,10,1,5,5,42
47,50,2,48,0.04,15,16,762896.0767777796,23.2,35.28,15,16,2,40,0,0,40,0,8,10,1,5,5,42
48,50,1,49,0.02,15,16,762890.0600721359,23.16,35.1,15,16,1,36,0,0,36,0,13,10,1,5,5,42
49,50,0,50,0.0,15,16,762883.5205298287,23.16,35.1,15,16,0,36,0,0,36,0,14,10,1,5,5,42
50,50,4,46,0.08,15,16,762876.4247929371,22.98,35.6,15,16,4,35,1,0,36,0,10,10,1,5,5,42
