run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,1,87,56.0,5,6,6,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,2,44,52.0,5,7,7,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,3,81,52.0,5,5,5,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,4,45,45.0,6,7,7,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,5,77,42.0,4,7,7,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,6,27,39.0,4,4,4,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,7,79,32.0,5,5,5,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,8,5,27.0,4,4,4,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,9,86,24.0,3,4,4,46
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,483,10,95,24.0,4,4,4,46
