ci_l,top10_flight_ids,top10_point_coverage,top10_pair_coverage,remaining_edges_after_top10_removal,lcc_ratio_after_top10_removal
1,"[41, 62, 18, 16, 83, 3, 49, 4, 80, 64]",0.24615384615384617,0.3411764705882353,56,0.08
2,"[41, 62, 18, 64, 83, 4, 16, 80, 49, 3]",0.24615384615384617,0.3411764705882353,56,0.08
3,"[83, 16, 64, 62, 41, 18, 4, 3, 56, 78]",0.25384615384615383,0.32941176470588235,57,0.14
